dataset,distance,linkage,runtime,ARI,whs
ACSF1,dtw,average,76288.0,0.0181422957070545,0.5533896623419509
ACSF1,dtw,complete,77229.0,0.0444497006886133,0.4709227651534144
ACSF1,dtw,single,78520.0,0.0136929100661447,0.5881551819822677
ACSF1,dtw,ward,63831.0,0.1689340258005403,0.4715972639698469
ACSF1,dtw,weighted,78769.0,0.0234561018386238,0.5401509904468259
ACSF1,euclidean,average,58745.0,0.0052679328664148,0.6088670737083393
ACSF1,euclidean,complete,57747.0,0.0914778678899021,0.4766542401547514
ACSF1,euclidean,single,58116.0,0.0015154063789516,0.6079553442927565
ACSF1,euclidean,ward,71852.0,0.1089234436664228,0.4314794752385817
ACSF1,euclidean,weighted,58551.0,0.0097342025013352,0.5178297774873077
ACSF1,kdtw,average,163396.0,0.0039279333342425,0.2930612316136212
ACSF1,kdtw,complete,162771.0,0.0039279333342425,0.2930612316136212
ACSF1,kdtw,single,162121.0,0.0039279333342425,0.2927447901998485
ACSF1,kdtw,ward,159107.0,0.0140308038555348,0.1565702792668344
ACSF1,kdtw,weighted,163213.0,0.0039279333342425,0.2930612316136212
ACSF1,lorentzian,average,70332.0,0.0272502077722542,0.5717141981528696
ACSF1,lorentzian,complete,68079.0,0.146794335463099,0.5489733397171062
ACSF1,lorentzian,single,70488.0,0.0056719709030943,0.5361977725619294
ACSF1,lorentzian,ward,71072.0,0.2496209375005915,0.5410495575652365
ACSF1,lorentzian,weighted,67169.0,0.0995272693553085,0.5354567607737252
ACSF1,msm,average,74264.0,0.0156460961459916,0.5521160699299603
ACSF1,msm,complete,74900.0,0.1160011374546626,0.5341001049605915
ACSF1,msm,single,74988.0,0.0040113417576167,0.5921998372937107
ACSF1,msm,ward,60557.0,0.2388974605984184,0.5348000269628518
ACSF1,msm,weighted,75586.0,0.0946514969462083,0.5352544562884444
ACSF1,sbd,average,71652.0,0.004108286248833,0.6675984013735323
ACSF1,sbd,complete,70719.0,0.007784149003343,0.4640761148065523
ACSF1,sbd,single,68977.0,0.0021437643621199,0.6273075672329342
ACSF1,sbd,ward,56308.0,0.0651192719406069,0.5095290112451969
ACSF1,sbd,weighted,71388.0,0.004108286248833,0.5260921217272009
Adiac,dtw,average,10282.0,0.0722467059060613,0.4984440775621669
Adiac,dtw,complete,10221.0,0.1184489102519392,0.4259748294393247
Adiac,dtw,single,10362.0,0.019350740819166,0.4516143928548029
Adiac,dtw,ward,8299.0,0.2418645271829233,0.4934124945013269
Adiac,dtw,weighted,10501.0,0.118924470322638,0.4802814592895597
Adiac,euclidean,average,11057.0,0.0199519915151659,0.5504571213547504
Adiac,euclidean,complete,10759.0,0.0649403100022877,0.4730424683362739
Adiac,euclidean,single,10859.0,0.0170264748273667,0.5114920052456063
Adiac,euclidean,ward,12501.0,0.1764719063582592,0.5098704282529795
Adiac,euclidean,weighted,10832.0,0.0321041538180541,0.531565180952841
Adiac,kdtw,average,19205.0,0.022157062753986,0.5203773161059634
Adiac,kdtw,complete,18902.0,0.1114934983748263,0.4753477252461594
Adiac,kdtw,single,18787.0,0.0195933830817049,0.5053717001485712
Adiac,kdtw,ward,18538.0,0.2536953241388936,0.4921930111300967
Adiac,kdtw,weighted,18809.0,0.0836231813681386,0.5220191871187805
Adiac,lorentzian,average,12491.0,0.0221281788315324,0.5282095043938371
Adiac,lorentzian,complete,12731.0,0.073816380408458,0.4729369324874747
Adiac,lorentzian,single,12364.0,0.0181189572402881,0.4889258151401539
Adiac,lorentzian,ward,12616.0,0.1705893279134411,0.4962663314061538
Adiac,lorentzian,weighted,12341.0,0.02166878705173,0.5196752719096394
Adiac,msm,average,14666.0,0.022242036983077,0.5092211968540596
Adiac,msm,complete,14844.0,0.0812513750069318,0.4645199249341856
