dataset,distance,linkage,runtime,ARI,whs
Adiac,msm,single,13972.0,0.0044883574990494,0.4501900302062799
Adiac,msm,ward,12503.0,0.2228703799304766,0.496121246666549
Adiac,msm,weighted,14345.0,0.0463156582951939,0.5048089414269737
Adiac,sbd,average,10110.0,0.0235915767485846,0.5279713089037593
Adiac,sbd,complete,10222.0,0.0536578794000959,0.4712392035185297
Adiac,sbd,single,10139.0,0.018314342935661,0.5007651774237257
Adiac,sbd,ward,8333.0,0.0986419545196897,0.5117300857153422
Adiac,sbd,weighted,10177.0,0.0368979785775546,0.5231744848593902
AllGestureWiimoteX,dtw,average,11713.0,0.011830283127481,0.3384981217730281
AllGestureWiimoteX,dtw,complete,11806.0,0.0345095157992031,0.3026344630001091
AllGestureWiimoteX,dtw,single,11848.0,0.0072325643364869,0.3118365511192791
AllGestureWiimoteX,dtw,ward,10080.0,0.139444498031234,0.317220798108202
AllGestureWiimoteX,dtw,weighted,11937.0,0.0100323048416213,0.3276075300987002
AllGestureWiimoteX,euclidean,average,12470.0,0.0011633902632165,0.3317457134993584
AllGestureWiimoteX,euclidean,complete,12387.0,0.0037929633950385,0.2440890785802151
AllGestureWiimoteX,euclidean,single,12419.0,0.0008982705993377,0.4300100219615055
AllGestureWiimoteX,euclidean,ward,14595.0,0.0646372603304358,0.2496080356550338
AllGestureWiimoteX,euclidean,weighted,12420.0,0.004735241326518,0.262106550556754
AllGestureWiimoteX,kdtw,average,21863.0,0.1007597083807522,0.1950583793465581
AllGestureWiimoteX,kdtw,complete,21805.0,0.0051486656009797,0.2551186689278718
AllGestureWiimoteX,kdtw,single,21875.0,0.0001895221986203,0.2672938892120384
AllGestureWiimoteX,kdtw,ward,21092.0,0.0085199785856562,0.2675205865309449
AllGestureWiimoteX,kdtw,weighted,21657.0,0.0882344104692043,0.2221059175644675
AllGestureWiimoteX,lorentzian,average,14562.0,0.0001464813799278,0.3475603219143711
AllGestureWiimoteX,lorentzian,complete,14531.0,0.0087276898392524,0.2352120141044405
AllGestureWiimoteX,lorentzian,single,14511.0,0.0001464813799278,0.5371814870995885
AllGestureWiimoteX,lorentzian,ward,14698.0,0.0535870910941755,0.2324835566417199
AllGestureWiimoteX,lorentzian,weighted,14498.0,0.0003982437941351,0.2455565268926534
AllGestureWiimoteX,msm,average,16962.0,0.0024726054507378,0.4187113126959949
AllGestureWiimoteX,msm,complete,16951.0,0.0453064010062714,0.3591178762137865
AllGestureWiimoteX,msm,single,17113.0,0.0013961499951657,0.3769918619617219
AllGestureWiimoteX,msm,ward,14730.0,0.0926628378970115,0.3846020495114445
AllGestureWiimoteX,msm,weighted,16929.0,0.0315582286449614,0.4061314676237246
AllGestureWiimoteX,sbd,average,11831.0,0.1229125055499618,0.500027137661685
AllGestureWiimoteX,sbd,complete,11627.0,0.1178967810004867,0.468827978516
AllGestureWiimoteX,sbd,single,11679.0,0.0152423502975615,0.3988895813096727
AllGestureWiimoteX,sbd,ward,9851.0,0.1820145015683835,0.4824481967952272
AllGestureWiimoteX,sbd,weighted,11799.0,0.1150491639892584,0.4862985043143931
AllGestureWiimoteY,dtw,average,11716.0,0.017867593046955,0.3341117832688647
AllGestureWiimoteY,dtw,complete,11595.0,0.0575978823283268,0.3101193273287278
AllGestureWiimoteY,dtw,single,11763.0,0.0064560257060047,0.3334395503150698
AllGestureWiimoteY,dtw,ward,10031.0,0.1546631744785684,0.3296863589853465
AllGestureWiimoteY,dtw,weighted,11863.0,0.025369093563647,0.331770709174012
AllGestureWiimoteY,euclidean,average,12629.0,0.0002746752339478,0.3307071400278818
AllGestureWiimoteY,euclidean,complete,12448.0,0.0219661461225759,0.2775756954460397
AllGestureWiimoteY,euclidean,single,12765.0,0.0001008633803267,0.4676003439481846
AllGestureWiimoteY,euclidean,ward,14355.0,0.0353137988431022,0.2749403889384942
AllGestureWiimoteY,euclidean,weighted,12499.0,0.0131246459345836,0.2860001980113049
AllGestureWiimoteY,kdtw,average,21848.0,0.0245226670044117,0.3109824351152984
AllGestureWiimoteY,kdtw,complete,22272.0,0.0111183090343719,0.3316479370729844
AllGestureWiimoteY,kdtw,single,21869.0,8.273247309392763e-05,0.3072144455951073
AllGestureWiimoteY,kdtw,ward,21481.0,0.0014524700478291,0.3646779329288917
AllGestureWiimoteY,kdtw,weighted,21694.0,0.0392196371807173,0.306658842030421
AllGestureWiimoteY,lorentzian,average,14522.0,0.0001464813799278,0.3159963739439662
AllGestureWiimoteY,lorentzian,complete,14545.0,0.0040602018312607,0.2545360137509088
AllGestureWiimoteY,lorentzian,single,14006.0,6.518421406788862e-05,0.4921554487152044
AllGestureWiimoteY,lorentzian,ward,14767.0,0.0714893186922116,0.2519280421616177
AllGestureWiimoteY,lorentzian,weighted,14557.0,0.0059785634848213,0.255048065067557
AllGestureWiimoteY,msm,average,16849.0,0.0027285841000381,0.4662341596312661
AllGestureWiimoteY,msm,complete,17004.0,0.036558272067235,0.3906320853255686
AllGestureWiimoteY,msm,single,17069.0,0.0022269374794486,0.54453788782888
AllGestureWiimoteY,msm,ward,14876.0,0.0789551711861609,0.4305775079511116
AllGestureWiimoteY,msm,weighted,16727.0,0.0064163315096859,0.4478725906600796
AllGestureWiimoteY,sbd,average,11809.0,0.1088481128843314,0.5473527177726878
AllGestureWiimoteY,sbd,complete,11727.0,0.1291363990511836,0.4709855957779627
AllGestureWiimoteY,sbd,single,11847.0,0.0181221997521854,0.4929292080267743
AllGestureWiimoteY,sbd,ward,10101.0,0.2505841729921665,0.5018200030558106
AllGestureWiimoteY,sbd,weighted,11748.0,0.0951619206108687,0.4960354534438256
AllGestureWiimoteZ,dtw,average,12060.0,0.0095166320002999,0.3340264931206108
AllGestureWiimoteZ,dtw,complete,12060.0,0.0248347790200322,0.2938114839140673
AllGestureWiimoteZ,dtw,single,11975.0,0.0022786582262166,0.3128703821507506
AllGestureWiimoteZ,dtw,ward,10519.0,0.1358305919059886,0.3102746239755138
AllGestureWiimoteZ,dtw,weighted,12092.0,0.0252711319106857,0.3137800175754288
AllGestureWiimoteZ,euclidean,average,12684.0,0.0004976292630888,0.3156208185384991
AllGestureWiimoteZ,euclidean,complete,12673.0,0.0096949728565315,0.2476517242847303
AllGestureWiimoteZ,euclidean,single,12723.0,0.0001356120077867,0.4909600051037471
AllGestureWiimoteZ,euclidean,ward,14677.0,0.062245956855128,0.2391656378622298
AllGestureWiimoteZ,euclidean,weighted,12605.0,0.0047353225114416,0.2524133874588992
AllGestureWiimoteZ,kdtw,average,22598.0,0.0177875185215361,0.2101724631958168
AllGestureWiimoteZ,kdtw,complete,22399.0,0.0004951722400074,0.2970322602902583
AllGestureWiimoteZ,kdtw,single,22247.0,0.00026217711331,0.2410899428045316
AllGestureWiimoteZ,kdtw,ward,21981.0,0.0017442970232665,0.3376187004833555
AllGestureWiimoteZ,kdtw,weighted,22391.0,0.0177875185215361,0.242760126448959
AllGestureWiimoteZ,lorentzian,average,14797.0,3.356864956679658e-05,0.3247427902495682
AllGestureWiimoteZ,lorentzian,complete,14122.0,0.0119490949827005,0.2320375741248615
AllGestureWiimoteZ,lorentzian,single,15030.0,0.0001103493062123,0.4609251261181845
AllGestureWiimoteZ,lorentzian,ward,15074.0,0.063351459507482,0.240080496065297
AllGestureWiimoteZ,lorentzian,weighted,14707.0,0.0141213261265359,0.2327397174726219
AllGestureWiimoteZ,msm,average,17335.0,0.0057587622364606,0.4118824872624923
AllGestureWiimoteZ,msm,complete,17149.0,0.0462326879510474,0.3844002447818789
AllGestureWiimoteZ,msm,single,16771.0,0.0012142468458686,0.4520119085735409
AllGestureWiimoteZ,msm,ward,14875.0,0.1035515226184255,0.3971837925062886
AllGestureWiimoteZ,msm,weighted,17358.0,0.0096022849610539,0.4095458027184522
AllGestureWiimoteZ,sbd,average,11730.0,0.0065709762835793,0.5155765408167616
AllGestureWiimoteZ,sbd,complete,12039.0,0.0716769191400551,0.486500089031345
AllGestureWiimoteZ,sbd,single,11792.0,8.247218726733747e-05,0.4284176301757089
AllGestureWiimoteZ,sbd,ward,9749.0,0.105614051503141,0.5098331618537437
AllGestureWiimoteZ,sbd,weighted,12002.0,0.0422641074973037,0.4756747337125619
ArrowHead,dtw,average,3650.0,-0.003696053037102,0.3745067565777644
ArrowHead,dtw,complete,3659.0,-0.0035083244231981,0.3484940262210332
ArrowHead,dtw,single,3635.0,-0.003696053037102,0.3647938340890936
ArrowHead,dtw,ward,3348.0,0.2683808855743461,0.3621690314330977
ArrowHead,dtw,weighted,3669.0,-0.003696053037102,0.3712248483348675
ArrowHead,euclidean,average,3855.0,-0.0030532050914455,0.4383702590657946
ArrowHead,euclidean,complete,3892.0,-0.0030532050914455,0.4266755251960573
ArrowHead,euclidean,single,3908.0,-0.0005541430904681,0.4929055809612452
ArrowHead,euclidean,ward,4264.0,0.272813972096347,0.4440217439828326
ArrowHead,euclidean,weighted,3863.0,0.0026416852851508,0.4431043080731931
ArrowHead,kdtw,average,6058.0,-0.0014393411618673,0.5531646537152912
ArrowHead,kdtw,complete,6087.0,0.1193693679557275,0.3866357852559249
ArrowHead,kdtw,single,5989.0,0.0017720905573078,0.471037753690796
ArrowHead,kdtw,ward,5836.0,0.0882665577127382,0.4134693074190538
ArrowHead,kdtw,weighted,6163.0,-0.0014393411618673,0.5510394176990648
ArrowHead,lorentzian,average,4237.0,-0.0030532050914455,0.5177837069252117
ArrowHead,lorentzian,complete,4249.0,-0.0030532050914455,0.4655240360293987
ArrowHead,lorentzian,single,4249.0,-0.0030532050914455,0.4767821976627341
ArrowHead,lorentzian,ward,4309.0,0.1231353623194896,0.4577122297900323
ArrowHead,lorentzian,weighted,4224.0,-0.0040198605447124,0.473222404196212
ArrowHead,msm,average,4875.0,0.0042216123433694,0.492571946077233
ArrowHead,msm,complete,4852.0,-0.0014393411618673,0.4472029717637631
ArrowHead,msm,single,4813.0,0.0042216123433694,0.4616922789484178
ArrowHead,msm,ward,4360.0,0.1360936723662922,0.4663618584829364
ArrowHead,msm,weighted,4845.0,-0.0005541430904681,0.4719648324189833
ArrowHead,sbd,average,3599.0,-3.5092619619003223e-06,0.481291079501362
ArrowHead,sbd,complete,3639.0,-3.5092619619003223e-06,0.3948213327692149
ArrowHead,sbd,single,3603.0,0.0028995994154942,0.4628952807823853
ArrowHead,sbd,ward,3371.0,0.0186537110060688,0.4201706915399632
ArrowHead,sbd,weighted,3622.0,-3.5092619619003223e-06,0.4554150449365783
BME,dtw,average,2319.0,0.1366149177765642,0.3989324163079605
BME,dtw,complete,2366.0,0.1212989269204914,0.3707589089834412
BME,dtw,single,2295.0,0.1366149177765642,0.4210876576526123
BME,dtw,ward,1911.0,0.2200411350266627,0.3673301308736544
BME,dtw,weighted,2298.0,0.1366149177765642,0.4382625874062963
BME,euclidean,average,2321.0,0.1337952587313902,0.596573358293972
BME,euclidean,complete,2305.0,0.1455384629871645,0.5158636861722473
BME,euclidean,single,2343.0,0.1337952587313902,0.583816673872278
BME,euclidean,ward,2766.0,0.1880580223567992,0.5185516316241205
BME,euclidean,weighted,2342.0,0.1337952587313902,0.5611908242583385
BME,kdtw,average,3867.0,0.1455384629871645,0.5084763884692117
BME,kdtw,complete,3893.0,0.1191194691218075,0.445767336688343
BME,kdtw,single,3920.0,0.1455384629871645,0.4674300725065584
BME,kdtw,ward,3781.0,0.2431202796276614,0.4697573123885631
BME,kdtw,weighted,3995.0,0.1455384629871645,0.49505522026867
BME,lorentzian,average,2703.0,0.1455384629871645,0.5385963353364241
BME,lorentzian,complete,2721.0,0.1455384629871645,0.5034715070358811
BME,lorentzian,single,2693.0,0.1455384629871645,0.4376243923219698
BME,lorentzian,ward,2768.0,0.1346919431279621,0.5035125946618203
BME,lorentzian,weighted,2736.0,0.1640997067281521,0.4956719462677353
BME,msm,average,3098.0,0.1455384629871645,0.5861690341192496
BME,msm,complete,3074.0,0.1455384629871645,0.533469243771186
BME,msm,single,3130.0,0.1455384629871645,0.5440874339000817
BME,msm,ward,2697.0,0.1584040498897661,0.5625849213482108
BME,msm,weighted,3211.0,0.1455384629871645,0.576487357092774
BME,sbd,average,2261.0,0.1404306626203283,0.6542083994812615
BME,sbd,complete,2264.0,0.1404306626203283,0.5573639493504265
BME,sbd,single,2307.0,0.1404306626203283,0.5875151337178247
BME,sbd,ward,1932.0,0.2263255937982133,0.5667946767439508
BME,sbd,weighted,2319.0,0.1404306626203283,0.5781572405127151
Beef,dtw,average,2826.0,0.06578886862153,0.6242473628066848
Beef,dtw,complete,2923.0,0.034849688031764,0.729801533428547
Beef,dtw,single,2956.0,0.0488435987265776,0.6541747599496093
Beef,dtw,ward,2740.0,0.0713353203438677,0.7301893022232006
Beef,dtw,weighted,2932.0,0.034849688031764,0.7001191666891936
Beef,euclidean,average,2893.0,0.06578886862153,0.7582898739678402
Beef,euclidean,complete,2757.0,0.034849688031764,0.5949261786549924
Beef,euclidean,single,2880.0,0.0461021290219305,0.7385331523467118
Beef,euclidean,ward,3023.0,0.0713353203438677,0.6493193435566318
Beef,euclidean,weighted,2851.0,0.034849688031764,0.7083843275368702
Beef,kdtw,average,4118.0,0.0456601539372409,0.563429268417646
Beef,kdtw,complete,4101.0,0.1649116357238517,0.5412885849508794
Beef,kdtw,single,4073.0,0.0146287943435328,0.5965375257408112
Beef,kdtw,ward,4254.0,0.0535472209670131,0.5861506744467436
Beef,kdtw,weighted,4020.0,0.0456601539372409,0.623678470533582
Beef,lorentzian,average,3084.0,0.0461021290219305,0.7542026711518237
Beef,lorentzian,complete,2948.0,0.034849688031764,0.6537880182971737
Beef,lorentzian,single,3041.0,0.0461021290219305,0.6989474140570849
Beef,lorentzian,ward,3023.0,0.0650013430029546,0.7166464891041162
Beef,lorentzian,weighted,3097.0,0.034849688031764,0.6171603357969004
Beef,msm,average,3242.0,0.034849688031764,0.7384320481778109
Beef,msm,complete,3324.0,0.034849688031764,0.5867638011705809
Beef,msm,single,3148.0,0.0488435987265776,0.6810194412995393
Beef,msm,ward,3075.0,0.0650013430029546,0.6584427813241374
Beef,msm,weighted,3303.0,0.034849688031764,0.730960558175099
Beef,sbd,average,2945.0,0.06578886862153,0.6538908105615128
Beef,sbd,complete,2957.0,0.034849688031764,0.6225612245477651
Beef,sbd,single,2820.0,0.0461021290219305,0.7001172584886661
Beef,sbd,ward,2659.0,0.0713353203438677,0.6819209039548024
Beef,sbd,weighted,2823.0,0.034849688031764,0.6349521253847751
BeetleFly,dtw,average,3397.0,0.2304656669297553,0.4273544831237139
BeetleFly,dtw,complete,3130.0,0.1399317406143344,0.4513326670123836
BeetleFly,dtw,single,2987.0,0.0,0.4580633684319086
BeetleFly,dtw,ward,3273.0,0.2304656669297553,0.4773617994206229
BeetleFly,dtw,weighted,3327.0,0.2304656669297553,0.4438815210554341
BeetleFly,euclidean,average,3042.0,0.002094103789019,0.5484548215317445
BeetleFly,euclidean,complete,3055.0,0.2841918294849023,0.542566304663079
BeetleFly,euclidean,single,3147.0,0.0779423226812159,0.5836762029600226
BeetleFly,euclidean,ward,3533.0,0.1041816635036974,0.5446832369909294
BeetleFly,euclidean,weighted,3167.0,-0.0231441909395752,0.5952244052244051
BeetleFly,kdtw,average,4186.0,0.0,0.2988151659840917
BeetleFly,kdtw,complete,4285.0,0.0,0.2988151659840917
BeetleFly,kdtw,single,4120.0,0.0,0.3234145544880449
BeetleFly,kdtw,ward,4268.0,0.0154948673251985,0.4306002745657918
BeetleFly,kdtw,weighted,4135.0,0.0,0.2988151659840917
BeetleFly,lorentzian,average,3290.0,0.1041816635036974,0.5515164029869912
BeetleFly,lorentzian,complete,3350.0,-0.0157853196527229,0.4705845817902451
BeetleFly,lorentzian,single,3308.0,0.0,0.6681840382721547
BeetleFly,lorentzian,ward,3463.0,0.1879772860779322,0.5895248626017857
BeetleFly,lorentzian,weighted,3350.0,0.031055900621118,0.5266550152523004
BeetleFly,msm,average,3448.0,0.0,0.5358839166531474
BeetleFly,msm,complete,3300.0,0.3438485804416404,0.4716325934274653
BeetleFly,msm,single,3456.0,0.0,0.5186796483763311
BeetleFly,msm,ward,3369.0,0.1815670021709098,0.440768844445315
BeetleFly,msm,weighted,3371.0,0.2845683476888684,0.4925324076133792
BeetleFly,sbd,average,3245.0,0.0154948673251985,0.5986773909850833
BeetleFly,sbd,complete,3224.0,0.2879392709901184,0.4806437780419681
BeetleFly,sbd,single,3228.0,0.0,0.681048588603767
BeetleFly,sbd,ward,3147.0,0.0157728706624605,0.4854388029946342
BeetleFly,sbd,weighted,3223.0,0.0170648464163822,0.5797601027864185
BirdChicken,dtw,average,3600.0,-0.0220689655172413,0.5706932628303597
BirdChicken,dtw,complete,3335.0,-0.0183234081539166,0.598942723942724
BirdChicken,dtw,single,3198.0,0.0051533110023189,0.5866321072741597
BirdChicken,dtw,ward,3287.0,-0.0220689655172413,0.5452927194725837
BirdChicken,dtw,weighted,3271.0,0.0051533110023189,0.6242980151913156
BirdChicken,euclidean,average,3108.0,-0.0156647738398276,0.5862682638717698
BirdChicken,euclidean,complete,3003.0,0.002094103789019,0.5650221695977664
BirdChicken,euclidean,single,3051.0,0.0,0.6991409929109899
BirdChicken,euclidean,ward,3363.0,0.1008866995073891,0.611303418803419
BirdChicken,euclidean,weighted,3057.0,-0.0156647738398276,0.5598593304617315
BirdChicken,kdtw,average,4471.0,0.0,0.4457817811096022
BirdChicken,kdtw,complete,4135.0,0.0,0.4002525804488228
BirdChicken,kdtw,single,4057.0,0.0,0.5743319441217389
BirdChicken,kdtw,ward,4094.0,0.0051533110023189,0.6627371957688698
BirdChicken,kdtw,weighted,4221.0,0.0,0.4457817811096022
BirdChicken,lorentzian,average,3398.0,-0.0156647738398276,0.6336828383550337
BirdChicken,lorentzian,complete,3326.0,-0.0166840458811261,0.5874998221152067
BirdChicken,lorentzian,single,3430.0,0.0,0.7874753414227098
BirdChicken,lorentzian,ward,3719.0,0.1399317406143344,0.547384981190649
BirdChicken,lorentzian,weighted,3396.0,0.0,0.6424535431166731
BirdChicken,msm,average,3463.0,-0.0238907849829351,0.6745047900817132
BirdChicken,msm,complete,3401.0,-0.0238907849829351,0.651221694971695
BirdChicken,msm,single,3534.0,0.0051533110023189,0.6822046045122969
BirdChicken,msm,ward,4327.0,0.002094103789019,0.6417964388552624
BirdChicken,msm,weighted,3499.0,-0.0238907849829351,0.7311055256856486
BirdChicken,sbd,average,3145.0,0.1093109506148741,0.6547008547008548
BirdChicken,sbd,complete,3435.0,0.1093109506148741,0.6056698287467518
BirdChicken,sbd,single,3217.0,0.0051533110023189,0.7383874226850815
BirdChicken,sbd,ward,0.285320197044335,0.285320197044335,0.6208347208347208
BirdChicken,sbd,weighted,3320.0,0.1093109506148741,0.6257133347631086
CBF,dtw,average,10783.0,0.559793810499997,0.2295745580882744
CBF,dtw,complete,10852.0,0.0733157875078226,0.212514555947491
CBF,dtw,single,10886.0,0.5661782423944822,0.3199773007172135
CBF,dtw,ward,9097.0,0.6643344859956064,0.2229949450036308
CBF,dtw,weighted,10910.0,0.5970277840198573,0.2196296457335797
CBF,euclidean,average,11352.0,0.3638936971484925,0.4680451494926354
CBF,euclidean,complete,11523.0,0.3679403330016267,0.4205838630007622
CBF,euclidean,single,11227.0,0.0046808511644316,0.3931275128975347
CBF,euclidean,ward,13415.0,0.3220716272444835,0.4456891429071227
CBF,euclidean,weighted,11184.0,0.36996903886278,0.4375048299197917
CBF,kdtw,average,19977.0,0.9967724536523496,0.3306862577570994
CBF,kdtw,complete,19628.0,0.0220433976090153,0.279459944380448
CBF,kdtw,single,20123.0,0.9967724536523496,0.2937232965614785
CBF,kdtw,ward,19414.0,0.0651718265164449,0.2489153839876537
CBF,kdtw,weighted,20138.0,0.9967724536523496,0.3022996694343187
CBF,lorentzian,average,13417.0,0.289099246415566,0.3699522305839524
CBF,lorentzian,complete,13487.0,0.289099246415566,0.3371053641837678
CBF,lorentzian,single,13318.0,1.8579201489668387e-05,0.2843261358755682
CBF,lorentzian,ward,13556.0,0.4603430592458267,0.3550602701500042
CBF,lorentzian,weighted,13272.0,0.3601671408164784,0.3646450871708858
CBF,msm,average,15418.0,0.7022205220136476,0.3035161700681556
CBF,msm,complete,15611.0,0.330230078862973,0.2690624911278846
CBF,msm,single,15529.0,4.639795240148562e-06,0.2143985892861096
CBF,msm,ward,13873.0,0.702156291248018,0.2803183362170511
CBF,msm,weighted,15560.0,0.2504907098669718,0.2892460661980251
CBF,sbd,average,10773.0,0.5616899314741047,0.3932122439832091
CBF,sbd,complete,10792.0,0.7177215892740331,0.3249150238979653
CBF,sbd,single,10821.0,0.0031363503765836,0.316721646703668
CBF,sbd,ward,9332.0,0.7091212172493907,0.3529177898905062
CBF,sbd,weighted,10801.0,0.6425272890348094,0.3730774429963456
Car,dtw,average,11661.0,0.1057215617136054,0.4327208532497024
Car,dtw,complete,11972.0,0.08684143614351,0.3423544617970509
Car,dtw,single,11917.0,0.0043143153647928,0.5322580811288887
Car,dtw,ward,10966.0,0.0828715825366863,0.3806127399367598
Car,dtw,weighted,11879.0,0.0724198725193255,0.388465417001806
Car,euclidean,average,10801.0,0.0673057927553378,0.442705756364138
Car,euclidean,complete,10951.0,0.0862748935221802,0.4345514968827995
Car,euclidean,single,11097.0,0.0295685255287492,0.4720406895702482
Car,euclidean,ward,11688.0,0.1168800451893137,0.4707160753584499
Car,euclidean,weighted,10936.0,0.0821103043411092,0.440582317340421
Car,kdtw,average,15702.0,0.1058497612145598,0.5286187229704431
Car,kdtw,complete,15705.0,0.0880777644579001,0.401292819030969
Car,kdtw,single,15647.0,0.0872259565830493,0.4834828173871464
Car,kdtw,ward,15815.0,0.0177608768594117,0.4282824602540907
Car,kdtw,weighted,15576.0,0.0872259565830493,0.4901916302163709
Car,lorentzian,average,11805.0,0.0806755051436059,0.5474963128404133
Car,lorentzian,complete,11775.0,0.0862748935221802,0.516574267945896
Car,lorentzian,single,11999.0,0.0295685255287492,0.5048391921189735
Car,lorentzian,ward,11691.0,0.0862748935221802,0.5017665825850754
Car,lorentzian,weighted,12003.0,0.156298006139461,0.545403322525616
Car,msm,average,12263.0,0.1026781402197547,0.4678037435299865
Car,msm,complete,12663.0,0.1026781402197547,0.4333871935626213
Car,msm,single,12203.0,0.0143883901051406,0.4419677968827942
Car,msm,ward,11674.0,0.3583378544460068,0.4376772572268743
Car,msm,weighted,12234.0,0.1026781402197547,0.441534110011041
Car,sbd,average,11644.0,0.0897731965069509,0.4929982161226618
Car,sbd,complete,11616.0,0.1030081446438167,0.4676946945323901
Car,sbd,single,11496.0,0.0295685255287492,0.4740995172743334
Car,sbd,ward,11065.0,0.1206756715039837,0.4812246399458108
Car,sbd,weighted,11623.0,0.0821103043411092,0.4184619650236314
Chinatown,dtw,average,3662.0,0.0129180684647147,0.4291730363703688
Chinatown,dtw,complete,3588.0,0.1666898594127596,0.3824046778499725
Chinatown,dtw,single,3588.0,0.0081916618289372,0.3876890828752983
Chinatown,dtw,ward,2673.0,0.1710252780294028,0.3879374384514888
Chinatown,dtw,weighted,3619.0,0.1639189140207714,0.3858010521316208
Chinatown,euclidean,average,3544.0,0.0210548399919585,0.4133195176873975
Chinatown,euclidean,complete,3584.0,0.4036588531868091,0.3458153292141844
Chinatown,euclidean,single,3481.0,0.0081916618289372,0.3885356447500817
Chinatown,euclidean,ward,4557.0,0.1653255358899424,0.3552380920603231
Chinatown,euclidean,weighted,3601.0,0.142964334973647,0.3749168423301166
Chinatown,kdtw,average,6609.0,-0.0032893159467547,0.0723409480092628
Chinatown,kdtw,complete,6683.0,-0.0032893159467547,0.0584388720845707
Chinatown,kdtw,single,6642.0,-0.0032893159467547,0.2316738218966205
Chinatown,kdtw,ward,6670.0,0.0328954357970291,0.1295152076137674
Chinatown,kdtw,weighted,6653.0,-0.0032893159467547,0.0668762423449357
Chinatown,lorentzian,average,4577.0,0.02921388637864,0.4050290793157605
Chinatown,lorentzian,complete,4542.0,0.4120714082020411,0.3198543480397391
Chinatown,lorentzian,single,4588.0,0.0081916618289372,0.3760940004989658
