dataset,distance,linkage,runtime,ARI,whs
ACSF1,dtw,average,17436.0,0.0504423134421974,0.6638033441049127
ACSF1,dtw,complete,17443.0,0.0534855685407139,0.5491445881972631
ACSF1,dtw,single,21023.0,0.0050657445543246,0.8779868166862894
ACSF1,dtw,ward,17418.0,0.0504423134421974,0.5464913212331434
ACSF1,dtw,weighted,17452.0,0.0504423134421974,0.521680476036004
ACSF1,euclidean,average,1575.0,0.0050657445543246,0.7150384041551102
ACSF1,euclidean,complete,2188.0,0.012780472733928,0.5325072441832941
ACSF1,euclidean,single,4855.0,0.0050657445543246,0.8813202322085896
ACSF1,euclidean,ward,1592.0,0.0050657445543246,0.4240981284405845
ACSF1,euclidean,weighted,1563.0,0.0050657445543246,0.6303623513052062
ACSF1,kdtw,average,877152.0,0.0060582011432023,0.047756120586558
ACSF1,kdtw,complete,863156.0,0.0060582011432023,0.047756120586558
ACSF1,kdtw,single,868170.0,0.0060582011432023,0.0477840992629675
ACSF1,kdtw,ward,877968.0,0.0060582011432023,0.0539947517519309
ACSF1,kdtw,weighted,877561.0,0.0060582011432023,0.047756120586558
ACSF1,lorentzian,average,1646.0,0.1480245779847477,0.6985849942684869
ACSF1,lorentzian,complete,1644.0,0.1596812153240949,0.6856397097166338
ACSF1,lorentzian,single,5435.0,0.0008058669584666,0.8431624842970508
ACSF1,lorentzian,ward,1630.0,0.1480245779847477,0.5292376581572104
ACSF1,lorentzian,weighted,1640.0,0.1480245779847477,0.6491172921493641
ACSF1,msm,average,13786.0,0.140229806765623,0.6876898877470902
ACSF1,msm,complete,13751.0,0.1174751376774336,0.5882791838689764
ACSF1,msm,single,17291.0,0.0005610250913424,0.823519137115052
ACSF1,msm,ward,14238.0,0.140229806765623,0.492834357103571
ACSF1,msm,weighted,13751.0,0.140229806765623,0.6534273560243845
ACSF1,sbd,average,1131.0,0.0038482528075726,0.6475967293900978
ACSF1,sbd,complete,1178.0,0.0731419854119774,0.4753585343140457
ACSF1,sbd,single,4496.0,0.0039279333342425,0.8871019533903096
ACSF1,sbd,ward,1156.0,0.0038482528075726,0.4309412758596779
ACSF1,sbd,weighted,1158.0,0.0038482528075726,0.5457664404521926
Adiac,dtw,average,28141.0,0.0931207999888106,0.5133748400277247
Adiac,dtw,complete,28948.0,0.122944245299859,0.4211989598366981
Adiac,dtw,single,23844.0,0.0034122591602899,0.9198843458211404
Adiac,dtw,ward,28184.0,0.0931207999888106,0.4376159215050105
Adiac,dtw,weighted,28128.0,0.0931207999888106,0.4889596713292865
Adiac,euclidean,average,26738.0,0.0683543730560345,0.6075233864781244
Adiac,euclidean,complete,27542.0,0.1027877209869767,0.5659442607873516
Adiac,euclidean,single,22967.0,0.0058664663297865,0.949303639631152
Adiac,euclidean,ward,26713.0,0.0683543730560345,0.5037923229176782
Adiac,euclidean,weighted,26682.0,0.0683543730560345,0.6180830541203185
Adiac,kdtw,average,36619.0,0.0752699332353381,0.6257042936273802
Adiac,kdtw,complete,37422.0,0.1078978893505299,0.5637734388952553
Adiac,kdtw,single,32804.0,0.0045416534019778,0.9721781256068106
Adiac,kdtw,ward,36567.0,0.0752699332353381,0.492731267287792
Adiac,kdtw,weighted,36046.0,0.0752699332353381,0.619085501838675
Adiac,lorentzian,average,27254.0,0.0602616621421173,0.6100124514517773
Adiac,lorentzian,complete,28392.0,0.1229786254555106,0.5541515880717693
Adiac,lorentzian,single,23235.0,0.0052517865354434,0.9284844629849506
Adiac,lorentzian,ward,26804.0,0.0602616621421173,0.491653490254669
Adiac,lorentzian,weighted,27347.0,0.0602616621421173,0.6424197197052761
Adiac,msm,average,28417.0,0.072209165565244,0.5565657244324294
Adiac,msm,complete,29202.0,0.103410944974762,0.4860009572878318
Adiac,msm,single,24429.0,0.0038350371273866,0.9532627779532324
Adiac,msm,ward,28361.0,0.072209165565244,0.4576669259087318
Adiac,msm,weighted,28343.0,0.072209165565244,0.5744454543817379
Adiac,sbd,average,27757.0,0.0508803261690203,0.5307873972351829
Adiac,sbd,complete,28209.0,0.1218984888915539,0.4743424361201095
Adiac,sbd,single,23457.0,0.0046687127670256,0.8834872162447908
Adiac,sbd,ward,27541.0,0.0508803261690203,0.4703649581097846
Adiac,sbd,weighted,27573.0,0.0508803261690203,0.5443500332486648
AllGestureWiimoteX,dtw,average,52450.0,0.028533354041229,0.3328507037993196
AllGestureWiimoteX,dtw,complete,54770.0,0.0488555047437127,0.2947262905258399
AllGestureWiimoteX,dtw,single,42822.0,0.0001552561020252,0.5219135183056602
AllGestureWiimoteX,dtw,ward,51925.0,0.028533354041229,0.3231071875441615
AllGestureWiimoteX,dtw,weighted,52630.0,0.028533354041229,0.3240947931416263
AllGestureWiimoteX,euclidean,average,53162.0,0.0038831211436193,0.1710139852711949
AllGestureWiimoteX,euclidean,complete,54877.0,0.0106918757910834,0.1514764438296007
AllGestureWiimoteX,euclidean,single,37996.0,6.518421406788862e-05,0.4284676255818267
AllGestureWiimoteX,euclidean,ward,53050.0,0.0038831211436193,0.1840097207355931
AllGestureWiimoteX,euclidean,weighted,52968.0,0.0038831211436193,0.1728527446382161
AllGestureWiimoteX,kdtw,average,125816.0,0.0586894220684463,0.1811718164330935
AllGestureWiimoteX,kdtw,complete,139730.0,0.0194281701033591,0.1712762571117629
AllGestureWiimoteX,kdtw,single,118822.0,0.0241414473067688,0.3426245178055475
AllGestureWiimoteX,kdtw,ward,126166.0,0.0586894220684463,0.1238621661761091
AllGestureWiimoteX,kdtw,weighted,126365.0,0.0586894220684463,0.1718960692965417
AllGestureWiimoteX,lorentzian,average,54898.0,0.0079375123031759,0.1069540270575711
AllGestureWiimoteX,lorentzian,complete,56171.0,0.009507103714033,0.1236727765888397
AllGestureWiimoteX,lorentzian,single,41053.0,0.0001151126432651,0.378212101221906
AllGestureWiimoteX,lorentzian,ward,55363.0,0.0079375123031759,0.1371163876172637
AllGestureWiimoteX,lorentzian,weighted,54860.0,0.0079375123031759,0.1198976828075412
AllGestureWiimoteX,msm,average,49088.0,0.0026136935960886,0.470638014914978
AllGestureWiimoteX,msm,complete,51895.0,0.0301005051584436,0.4126486424846748
AllGestureWiimoteX,msm,single,40356.0,0.0001467849250699,0.7134708815683382
AllGestureWiimoteX,msm,ward,48979.0,0.0026136935960886,0.4393972473407942
AllGestureWiimoteX,msm,weighted,49397.0,0.0026136935960886,0.4649778872908431
AllGestureWiimoteX,sbd,average,62918.0,0.1458507534835423,0.5537947022156858
AllGestureWiimoteX,sbd,complete,65194.0,0.1270873160656519,0.4799555422861211
AllGestureWiimoteX,sbd,single,55422.0,1.5502612709029693e-05,0.9508297505950364
AllGestureWiimoteX,sbd,ward,62925.0,0.1458507534835423,0.5033802205099404
AllGestureWiimoteX,sbd,weighted,63209.0,0.1458507534835423,0.5521936220365353
AllGestureWiimoteY,dtw,average,57163.0,0.0342631510389294,0.3334488952529993
AllGestureWiimoteY,dtw,complete,59617.0,0.0417121054686591,0.3050801740229173
AllGestureWiimoteY,dtw,single,46902.0,0.0001105880315786,0.4839848827116536
