dataset,distance,linkage,strategy,phase,runtime,ARI
SonyAIBORobotSurface2,euclidean,single,parallel,ComputingFullDistances,143,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,parallel,Finalizing,59,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,parallel,Finished,292,0.001237232749343879
SonyAIBORobotSurface1,dtw,ward,parallel,Initializing,69,0.5892915773927678
SonyAIBORobotSurface1,dtw,ward,parallel,Approximating,0,0.5892915773927678
SonyAIBORobotSurface1,dtw,ward,parallel,ComputingFullDistances,880,0.5892915773927678
SonyAIBORobotSurface1,dtw,ward,parallel,Finalizing,61,0.5892915773927678
SonyAIBORobotSurface1,dtw,ward,parallel,Finished,1011,0.5892915773927678
ChlorineConcentration,euclidean,ward,parallel,Initializing,336,-0.004739170460163309
ChlorineConcentration,euclidean,ward,parallel,Approximating,0,-0.004739170460163309
ChlorineConcentration,euclidean,ward,parallel,ComputingFullDistances,973,-0.004739170460163309
ChlorineConcentration,euclidean,ward,parallel,Finalizing,564,-0.004739170460163309
ChlorineConcentration,euclidean,ward,parallel,Finished,1874,-0.004739170460163309
Lightning2,lorentzian,ward,parallel,Initializing,95,-0.00728959575878065
Lightning2,lorentzian,ward,parallel,Approximating,0,-0.00728959575878065
Lightning2,lorentzian,ward,parallel,ComputingFullDistances,145,-0.00728959575878065
Lightning2,lorentzian,ward,parallel,Finalizing,20,-0.00728959575878065
Lightning2,lorentzian,ward,parallel,Finished,262,-0.00728959575878065
UWaveGestureLibraryX,msm,single,parallel,Initializing,662,1.515852941146781e-06
UWaveGestureLibraryX,msm,single,parallel,Approximating,0,1.515852941146781e-06
UWaveGestureLibraryX,msm,single,parallel,ComputingFullDistances,706249,1.515852941146781e-06
UWaveGestureLibraryX,msm,single,parallel,Finalizing,230,1.515852941146781e-06
UWaveGestureLibraryX,msm,single,parallel,Finished,707143,1.515852941146781e-06
MoteStrain,kdtw,single,parallel,Initializing,116,0.00026249666131071287
MoteStrain,kdtw,single,parallel,Approximating,0,0.00026249666131071287
MoteStrain,kdtw,single,parallel,ComputingFullDistances,68561,0.00026249666131071287
MoteStrain,kdtw,single,parallel,Finalizing,56,0.00026249666131071287
MoteStrain,kdtw,single,parallel,Finished,68735,0.00026249666131071287
Lightning2,lorentzian,complete,parallel,Initializing,94,-0.00797530931636304
Lightning2,lorentzian,complete,parallel,Approximating,0,-0.00797530931636304
Lightning2,lorentzian,complete,parallel,ComputingFullDistances,141,-0.00797530931636304
Lightning2,lorentzian,complete,parallel,Finalizing,20,-0.00797530931636304
Lightning2,lorentzian,complete,parallel,Finished,256,-0.00797530931636304
DistalPhalanxOutlineCorrect,lorentzian,single,parallel,Initializing,86,0.001368164739912358
DistalPhalanxOutlineCorrect,lorentzian,single,parallel,Approximating,0,0.001368164739912358
DistalPhalanxOutlineCorrect,lorentzian,single,parallel,ComputingFullDistances,253,0.001368164739912358
DistalPhalanxOutlineCorrect,lorentzian,single,parallel,Finalizing,52,0.001368164739912358
DistalPhalanxOutlineCorrect,lorentzian,single,parallel,Finished,394,0.001368164739912358
ProximalPhalanxOutlineAgeGroup,sbd,weighted,parallel,Initializing,61,0.5349515371082505
ProximalPhalanxOutlineAgeGroup,sbd,weighted,parallel,Approximating,0,0.5349515371082505
ProximalPhalanxOutlineAgeGroup,sbd,weighted,parallel,ComputingFullDistances,637,0.5349515371082505
ProximalPhalanxOutlineAgeGroup,sbd,weighted,parallel,Finalizing,60,0.5349515371082505
ProximalPhalanxOutlineAgeGroup,sbd,weighted,parallel,Finished,760,0.5349515371082505
MiddlePhalanxOutlineAgeGroup,dtw,weighted,parallel,Initializing,64,0.45158342663023626
MiddlePhalanxOutlineAgeGroup,dtw,weighted,parallel,Approximating,0,0.45158342663023626
MiddlePhalanxOutlineAgeGroup,dtw,weighted,parallel,ComputingFullDistances,890,0.45158342663023626
MiddlePhalanxOutlineAgeGroup,dtw,weighted,parallel,Finalizing,52,0.45158342663023626
MiddlePhalanxOutlineAgeGroup,dtw,weighted,parallel,Finished,1008,0.45158342663023626
InlineSkate,sbd,single,parallel,Initializing,616,0.0068452038423691694
InlineSkate,sbd,single,parallel,Approximating,0,0.0068452038423691694
InlineSkate,sbd,single,parallel,ComputingFullDistances,8300,0.0068452038423691694
InlineSkate,sbd,single,parallel,Finalizing,29,0.0068452038423691694
InlineSkate,sbd,single,parallel,Finished,8947,0.0068452038423691694
ShakeGestureWiimoteZ,dtw,complete,parallel,Initializing,33,0.23662850077944417
ShakeGestureWiimoteZ,dtw,complete,parallel,Approximating,0,0.23662850077944417
ShakeGestureWiimoteZ,dtw,complete,parallel,ComputingFullDistances,455,0.23662850077944417
ShakeGestureWiimoteZ,dtw,complete,parallel,Finalizing,16,0.23662850077944417
ShakeGestureWiimoteZ,dtw,complete,parallel,Finished,504,0.23662850077944417
GestureMidAirD3,lorentzian,ward,parallel,Initializing,72,0.03875332912348102
GestureMidAirD3,lorentzian,ward,parallel,Approximating,0,0.03875332912348102
GestureMidAirD3,lorentzian,ward,parallel,ComputingFullDistances,157,0.03875332912348102
GestureMidAirD3,lorentzian,ward,parallel,Finalizing,44,0.03875332912348102
GestureMidAirD3,lorentzian,ward,parallel,Finished,275,0.03875332912348102
edeniss20182020_par_anomalies,euclidean,complete,parallel,Initializing,44,
edeniss20182020_par_anomalies,euclidean,complete,parallel,Approximating,0,
edeniss20182020_par_anomalies,euclidean,complete,parallel,ComputingFullDistances,137,
edeniss20182020_par_anomalies,euclidean,complete,parallel,Finalizing,34,
edeniss20182020_par_anomalies,euclidean,complete,parallel,Finished,216,
GestureMidAirD2,euclidean,ward,parallel,Initializing,60,0.1421526261598159
GestureMidAirD2,euclidean,ward,parallel,Approximating,0,0.1421526261598159
GestureMidAirD2,euclidean,ward,parallel,ComputingFullDistances,141,0.1421526261598159
GestureMidAirD2,euclidean,ward,parallel,Finalizing,40,0.1421526261598159
GestureMidAirD2,euclidean,ward,parallel,Finished,242,0.1421526261598159
ECGFiveDays,kdtw,weighted,parallel,Initializing,124,0.013752173277225518
ECGFiveDays,kdtw,weighted,parallel,Approximating,0,0.013752173277225518
ECGFiveDays,kdtw,weighted,parallel,ComputingFullDistances,87320,0.013752173277225518
ECGFiveDays,kdtw,weighted,parallel,Finalizing,69,0.013752173277225518
ECGFiveDays,kdtw,weighted,parallel,Finished,87515,0.013752173277225518
EthanolLevel,kdtw,weighted,parallel,Initializing,870,0.0008061325614198073
EthanolLevel,kdtw,weighted,parallel,Approximating,0,0.0008061325614198073
EthanolLevel,kdtw,weighted,parallel,ComputingFullDistances,24691032,0.0008061325614198073
EthanolLevel,kdtw,weighted,parallel,Finalizing,85,0.0008061325614198073
EthanolLevel,kdtw,weighted,parallel,Finished,24691990,0.0008061325614198073
Mallat,kdtw,ward,parallel,Initializing,1202,0.0010819203543187478
Mallat,kdtw,ward,parallel,Approximating,0,0.0010819203543187478
Mallat,kdtw,ward,parallel,ComputingFullDistances,48138901,0.0010819203543187478
Mallat,kdtw,ward,parallel,Finalizing,210,0.0010819203543187478
Mallat,kdtw,ward,parallel,Finished,48140315,0.0010819203543187478
InsectEPGRegularTrain,sbd,complete,parallel,Initializing,138,0.6605131182410964
InsectEPGRegularTrain,sbd,complete,parallel,Approximating,0,0.6605131182410964
InsectEPGRegularTrain,sbd,complete,parallel,ComputingFullDistances,1040,0.6605131182410964
InsectEPGRegularTrain,sbd,complete,parallel,Finalizing,33,0.6605131182410964
InsectEPGRegularTrain,sbd,complete,parallel,Finished,1213,0.6605131182410964
InsectEPGSmallTrain,msm,single,parallel,Initializing,116,1.0
InsectEPGSmallTrain,msm,single,parallel,Approximating,0,1.0
InsectEPGSmallTrain,msm,single,parallel,ComputingFullDistances,10676,1.0
InsectEPGSmallTrain,msm,single,parallel,Finalizing,22,1.0
InsectEPGSmallTrain,msm,single,parallel,Finished,10816,1.0
GunPointOldVersusYoung,dtw,complete,parallel,Initializing,74,0.23844110461868698
GunPointOldVersusYoung,dtw,complete,parallel,Approximating,0,0.23844110461868698
GunPointOldVersusYoung,dtw,complete,parallel,ComputingFullDistances,1578,0.23844110461868698
GunPointOldVersusYoung,dtw,complete,parallel,Finalizing,46,0.23844110461868698
GunPointOldVersusYoung,dtw,complete,parallel,Finished,1699,0.23844110461868698
EthanolLevel,dtw,ward,parallel,Initializing,814,0.0016171659272357986
EthanolLevel,dtw,ward,parallel,Approximating,0,0.0016171659272357986
EthanolLevel,dtw,ward,parallel,ComputingFullDistances,1050801,0.0016171659272357986
EthanolLevel,dtw,ward,parallel,Finalizing,98,0.0016171659272357986
EthanolLevel,dtw,ward,parallel,Finished,1051715,0.0016171659272357986
CricketX,lorentzian,complete,parallel,Initializing,188,0.07396485130270751
CricketX,lorentzian,complete,parallel,Approximating,0,0.07396485130270751
CricketX,lorentzian,complete,parallel,ComputingFullDistances,409,0.07396485130270751
CricketX,lorentzian,complete,parallel,Finalizing,73,0.07396485130270751
CricketX,lorentzian,complete,parallel,Finished,672,0.07396485130270751
Ham,kdtw,ward,parallel,Initializing,114,-0.001171776662205393
Ham,kdtw,ward,parallel,Approximating,0,-0.001171776662205393
Ham,kdtw,ward,parallel,ComputingFullDistances,63329,-0.001171776662205393
Ham,kdtw,ward,parallel,Finalizing,28,-0.001171776662205393
Ham,kdtw,ward,parallel,Finished,63471,-0.001171776662205393
MixedShapesSmallTrain,dtw,average,parallel,Initializing,1098,0.1241666875843606
MixedShapesSmallTrain,dtw,average,parallel,Approximating,0,0.1241666875843606
MixedShapesSmallTrain,dtw,average,parallel,ComputingFullDistances,2245752,0.1241666875843606
MixedShapesSmallTrain,dtw,average,parallel,Finalizing,173,0.1241666875843606
MixedShapesSmallTrain,dtw,average,parallel,Finished,2247025,0.1241666875843606
Trace,euclidean,weighted,parallel,Initializing,62,0.4007914747829632
Trace,euclidean,weighted,parallel,Approximating,0,0.4007914747829632
Trace,euclidean,weighted,parallel,ComputingFullDistances,137,0.4007914747829632
Trace,euclidean,weighted,parallel,Finalizing,26,0.4007914747829632
Trace,euclidean,weighted,parallel,Finished,226,0.4007914747829632
PigAirwayPressure,msm,weighted,parallel,Initializing,332,0.09084892545712138
PigAirwayPressure,msm,weighted,parallel,Approximating,0,0.09084892545712138
PigAirwayPressure,msm,weighted,parallel,ComputingFullDistances,143065,0.09084892545712138
PigAirwayPressure,msm,weighted,parallel,Finalizing,35,0.09084892545712138
PigAirwayPressure,msm,weighted,parallel,Finished,143434,0.09084892545712138
ProximalPhalanxOutlineCorrect,kdtw,ward,parallel,Initializing,94,0.04177299924807573
ProximalPhalanxOutlineCorrect,kdtw,ward,parallel,Approximating,0,0.04177299924807573
ProximalPhalanxOutlineCorrect,kdtw,ward,parallel,ComputingFullDistances,30676,0.04177299924807573
ProximalPhalanxOutlineCorrect,kdtw,ward,parallel,Finalizing,76,0.04177299924807573
ProximalPhalanxOutlineCorrect,kdtw,ward,parallel,Finished,30848,0.04177299924807573
SmoothSubspace,sbd,ward,parallel,Initializing,23,0.4205330324109298
SmoothSubspace,sbd,ward,parallel,Approximating,0,0.4205330324109298
SmoothSubspace,sbd,ward,parallel,ComputingFullDistances,327,0.4205330324109298
SmoothSubspace,sbd,ward,parallel,Finalizing,57,0.4205330324109298
SmoothSubspace,sbd,ward,parallel,Finished,408,0.4205330324109298
NonInvasiveFetalECGThorax1,lorentzian,complete,parallel,Initializing,1379,0.1931433720417775
NonInvasiveFetalECGThorax1,lorentzian,complete,parallel,Approximating,0,0.1931433720417775
NonInvasiveFetalECGThorax1,lorentzian,complete,parallel,ComputingFullDistances,16435,0.1931433720417775
NonInvasiveFetalECGThorax1,lorentzian,complete,parallel,Finalizing,458,0.1931433720417775
NonInvasiveFetalECGThorax1,lorentzian,complete,parallel,Finished,18274,0.1931433720417775
edeniss20182020_ics_anomalies,msm,single,parallel,Initializing,190,
edeniss20182020_ics_anomalies,msm,single,parallel,Approximating,0,
edeniss20182020_ics_anomalies,msm,single,parallel,ComputingFullDistances,84841,
edeniss20182020_ics_anomalies,msm,single,parallel,Finalizing,93,
edeniss20182020_ics_anomalies,msm,single,parallel,Finished,85127,
WormsTwoClass,msm,single,parallel,Initializing,172,0.002843837080581746
WormsTwoClass,msm,single,parallel,Approximating,0,0.002843837080581746
WormsTwoClass,msm,single,parallel,ComputingFullDistances,21829,0.002843837080581746
WormsTwoClass,msm,single,parallel,Finalizing,24,0.002843837080581746
WormsTwoClass,msm,single,parallel,Finished,22026,0.002843837080581746
EOGHorizontalSignal,kdtw,weighted,parallel,Initializing,404,0.00037855526071538606
EOGHorizontalSignal,kdtw,weighted,parallel,Approximating,0,0.00037855526071538606
EOGHorizontalSignal,kdtw,weighted,parallel,ComputingFullDistances,6560229,0.00037855526071538606
EOGHorizontalSignal,kdtw,weighted,parallel,Finalizing,68,0.00037855526071538606
EOGHorizontalSignal,kdtw,weighted,parallel,Finished,6560704,0.00037855526071538606
EOGVerticalSignal,sbd,complete,parallel,Initializing,420,0.07767440434474286
EOGVerticalSignal,sbd,complete,parallel,Approximating,0,0.07767440434474286
EOGVerticalSignal,sbd,complete,parallel,ComputingFullDistances,6774,0.07767440434474286
EOGVerticalSignal,sbd,complete,parallel,Finalizing,63,0.07767440434474286
EOGVerticalSignal,sbd,complete,parallel,Finished,7259,0.07767440434474286
Chinatown,sbd,weighted,parallel,Initializing,25,0.0164046723724591
Chinatown,sbd,weighted,parallel,Approximating,0,0.0164046723724591
Chinatown,sbd,weighted,parallel,ComputingFullDistances,367,0.0164046723724591
Chinatown,sbd,weighted,parallel,Finalizing,38,0.0164046723724591
Chinatown,sbd,weighted,parallel,Finished,433,0.0164046723724591
Haptics,msm,complete,parallel,Initializing,303,0.06133303015359588
Haptics,msm,complete,parallel,Approximating,0,0.06133303015359588
Haptics,msm,complete,parallel,ComputingFullDistances,89201,0.06133303015359588
Haptics,msm,complete,parallel,Finalizing,51,0.06133303015359588
Haptics,msm,complete,parallel,Finished,89556,0.06133303015359588
WordSynonyms,kdtw,weighted,parallel,Initializing,167,0.006192153590830162
WordSynonyms,kdtw,weighted,parallel,Approximating,0,0.006192153590830162
WordSynonyms,kdtw,weighted,parallel,ComputingFullDistances,360481,0.006192153590830162
WordSynonyms,kdtw,weighted,parallel,Finalizing,74,0.006192153590830162
WordSynonyms,kdtw,weighted,parallel,Finished,360723,0.006192153590830162
Chinatown,sbd,average,parallel,Initializing,27,0.0164046723724591
Chinatown,sbd,average,parallel,Approximating,0,0.0164046723724591
Chinatown,sbd,average,parallel,ComputingFullDistances,364,0.0164046723724591
Chinatown,sbd,average,parallel,Finalizing,39,0.0164046723724591
Chinatown,sbd,average,parallel,Finished,432,0.0164046723724591
Worms,euclidean,single,parallel,Initializing,181,0.007504087936281663
Worms,euclidean,single,parallel,Approximating,0,0.007504087936281663
Worms,euclidean,single,parallel,ComputingFullDistances,147,0.007504087936281663
Worms,euclidean,single,parallel,Finalizing,25,0.007504087936281663
Worms,euclidean,single,parallel,Finished,355,0.007504087936281663
ProximalPhalanxTW,euclidean,average,parallel,Initializing,76,0.5851375981193448
ProximalPhalanxTW,euclidean,average,parallel,Approximating,0,0.5851375981193448
ProximalPhalanxTW,euclidean,average,parallel,ComputingFullDistances,152,0.5851375981193448
ProximalPhalanxTW,euclidean,average,parallel,Finalizing,55,0.5851375981193448
ProximalPhalanxTW,euclidean,average,parallel,Finished,284,0.5851375981193448
FaceFour,kdtw,single,parallel,Initializing,76,0.005880105208038045
FaceFour,kdtw,single,parallel,Approximating,0,0.005880105208038045
FaceFour,kdtw,single,parallel,ComputingFullDistances,9541,0.005880105208038045
FaceFour,kdtw,single,parallel,Finalizing,21,0.005880105208038045
FaceFour,kdtw,single,parallel,Finished,9640,0.005880105208038045
ECG5000,kdtw,single,parallel,Initializing,360,-0.00035216705182105696
ECG5000,kdtw,single,parallel,Approximating,0,-0.00035216705182105696
ECG5000,kdtw,single,parallel,ComputingFullDistances,2940218,-0.00035216705182105696
ECG5000,kdtw,single,parallel,Finalizing,194,-0.00035216705182105696
ECG5000,kdtw,single,parallel,Finished,2940774,-0.00035216705182105696
edeniss20182020_level_anomalies,sbd,weighted,parallel,Initializing,42,
edeniss20182020_level_anomalies,sbd,weighted,parallel,Approximating,0,
edeniss20182020_level_anomalies,sbd,weighted,parallel,ComputingFullDistances,581,
edeniss20182020_level_anomalies,sbd,weighted,parallel,Finalizing,22,
edeniss20182020_level_anomalies,sbd,weighted,parallel,Finished,648,
FacesUCR,sbd,weighted,parallel,Initializing,174,0.2357551303409183
FacesUCR,sbd,weighted,parallel,Approximating,0,0.2357551303409183
FacesUCR,sbd,weighted,parallel,ComputingFullDistances,6142,0.2357551303409183
FacesUCR,sbd,weighted,parallel,Finalizing,164,0.2357551303409183
FacesUCR,sbd,weighted,parallel,Finished,6482,0.2357551303409183
UWaveGestureLibraryAll,euclidean,weighted,parallel,Initializing,1695,0.43963523377098807
UWaveGestureLibraryAll,euclidean,weighted,parallel,Approximating,0,0.43963523377098807
UWaveGestureLibraryAll,euclidean,weighted,parallel,ComputingFullDistances,3334,0.43963523377098807
UWaveGestureLibraryAll,euclidean,weighted,parallel,Finalizing,596,0.43963523377098807
UWaveGestureLibraryAll,euclidean,weighted,parallel,Finished,5626,0.43963523377098807
UWaveGestureLibraryY,lorentzian,complete,parallel,Initializing,658,0.2464103120070046
UWaveGestureLibraryY,lorentzian,complete,parallel,Approximating,0,0.2464103120070046
UWaveGestureLibraryY,lorentzian,complete,parallel,ComputingFullDistances,9399,0.2464103120070046
UWaveGestureLibraryY,lorentzian,complete,parallel,Finalizing,669,0.2464103120070046
UWaveGestureLibraryY,lorentzian,complete,parallel,Finished,10727,0.2464103120070046
MiddlePhalanxTW,msm,weighted,parallel,Initializing,67,0.5114098121745628
MiddlePhalanxTW,msm,weighted,parallel,Approximating,0,0.5114098121745628
MiddlePhalanxTW,msm,weighted,parallel,ComputingFullDistances,914,0.5114098121745628
MiddlePhalanxTW,msm,weighted,parallel,Finalizing,54,0.5114098121745628
MiddlePhalanxTW,msm,weighted,parallel,Finished,1036,0.5114098121745628
Lightning2,euclidean,ward,parallel,Initializing,89,0.14515588333892054
Lightning2,euclidean,ward,parallel,Approximating,0,0.14515588333892054
Lightning2,euclidean,ward,parallel,ComputingFullDistances,129,0.14515588333892054
Lightning2,euclidean,ward,parallel,Finalizing,29,0.14515588333892054
Lightning2,euclidean,ward,parallel,Finished,249,0.14515588333892054
GestureMidAirD1,lorentzian,average,parallel,Initializing,81,0.0027036307669183793
GestureMidAirD1,lorentzian,average,parallel,Approximating,0,0.0027036307669183793
GestureMidAirD1,lorentzian,average,parallel,ComputingFullDistances,155,0.0027036307669183793
GestureMidAirD1,lorentzian,average,parallel,Finalizing,53,0.0027036307669183793
GestureMidAirD1,lorentzian,average,parallel,Finished,291,0.0027036307669183793
ShapeletSim,kdtw,weighted,parallel,Initializing,110,0.0
ShapeletSim,kdtw,weighted,parallel,Approximating,0,0.0
ShapeletSim,kdtw,weighted,parallel,ComputingFullDistances,78303,0.0
ShapeletSim,kdtw,weighted,parallel,Finalizing,28,0.0
ShapeletSim,kdtw,weighted,parallel,Finished,78442,0.0
PigArtPressure,dtw,average,parallel,Initializing,314,0.25827989669658763
PigArtPressure,dtw,average,parallel,Approximating,0,0.25827989669658763
PigArtPressure,dtw,average,parallel,ComputingFullDistances,143865,0.25827989669658763
PigArtPressure,dtw,average,parallel,Finalizing,35,0.25827989669658763
PigArtPressure,dtw,average,parallel,Finished,144215,0.25827989669658763
GesturePebbleZ2,kdtw,complete,parallel,Initializing,73,0.0006128493372415974
GesturePebbleZ2,kdtw,complete,parallel,Approximating,0,0.0006128493372415974
GesturePebbleZ2,kdtw,complete,parallel,ComputingFullDistances,28468,0.0006128493372415974
GesturePebbleZ2,kdtw,complete,parallel,Finalizing,36,0.0006128493372415974
GesturePebbleZ2,kdtw,complete,parallel,Finished,28578,0.0006128493372415974
FaceAll,euclidean,single,parallel,Initializing,171,0.00044457362750676245
FaceAll,euclidean,single,parallel,Approximating,0,0.00044457362750676245
FaceAll,euclidean,single,parallel,ComputingFullDistances,303,0.00044457362750676245
FaceAll,euclidean,single,parallel,Finalizing,130,0.00044457362750676245
FaceAll,euclidean,single,parallel,Finished,606,0.00044457362750676245
ECGFiveDays,msm,average,parallel,Initializing,122,0.008141929015344551
ECGFiveDays,msm,average,parallel,Approximating,0,0.008141929015344551
ECGFiveDays,msm,average,parallel,ComputingFullDistances,4466,0.008141929015344551
ECGFiveDays,msm,average,parallel,Finalizing,70,0.008141929015344551
ECGFiveDays,msm,average,parallel,Finished,4658,0.008141929015344551
ShapesAll,lorentzian,weighted,parallel,Initializing,351,0.15608264362051535
ShapesAll,lorentzian,weighted,parallel,Approximating,0,0.15608264362051535
ShapesAll,lorentzian,weighted,parallel,ComputingFullDistances,1216,0.15608264362051535
ShapesAll,lorentzian,weighted,parallel,Finalizing,101,0.15608264362051535
ShapesAll,lorentzian,weighted,parallel,Finished,1671,0.15608264362051535
ScreenType,dtw,ward,parallel,Initializing,307,0.010403902909455852
ScreenType,dtw,ward,parallel,Approximating,0,0.010403902909455852
ScreenType,dtw,ward,parallel,ComputingFullDistances,100798,0.010403902909455852
ScreenType,dtw,ward,parallel,Finalizing,70,0.010403902909455852
ScreenType,dtw,ward,parallel,Finished,101177,0.010403902909455852
SemgHandSubjectCh2,dtw,single,parallel,Initializing,581,2.129920400484404e-05
SemgHandSubjectCh2,dtw,single,parallel,Approximating,0,2.129920400484404e-05
SemgHandSubjectCh2,dtw,single,parallel,ComputingFullDistances,619534,2.129920400484404e-05
SemgHandSubjectCh2,dtw,single,parallel,Finalizing,57,2.129920400484404e-05
SemgHandSubjectCh2,dtw,single,parallel,Finished,620174,2.129920400484404e-05
AllGestureWiimoteX,kdtw,average,parallel,Initializing,104,0.0001464813799278396
AllGestureWiimoteX,kdtw,average,parallel,Approximating,0,0.0001464813799278396
AllGestureWiimoteX,kdtw,average,parallel,ComputingFullDistances,111823,0.0001464813799278396
AllGestureWiimoteX,kdtw,average,parallel,Finalizing,85,0.0001464813799278396
AllGestureWiimoteX,kdtw,average,parallel,Finished,112014,0.0001464813799278396
FordB,msm,weighted,parallel,Initializing,1017,-2.98367049984495e-05
FordB,msm,weighted,parallel,Approximating,0,-2.98367049984495e-05
FordB,msm,weighted,parallel,ComputingFullDistances,1583076,-2.98367049984495e-05
FordB,msm,weighted,parallel,Finalizing,635,-2.98367049984495e-05
FordB,msm,weighted,parallel,Finished,1584729,-2.98367049984495e-05
PowerCons,euclidean,average,parallel,Initializing,60,0.005523057872026221
PowerCons,euclidean,average,parallel,Approximating,0,0.005523057872026221
PowerCons,euclidean,average,parallel,ComputingFullDistances,129,0.005523057872026221
PowerCons,euclidean,average,parallel,Finalizing,38,0.005523057872026221
PowerCons,euclidean,average,parallel,Finished,229,0.005523057872026221
CinCECGTorso,dtw,average,parallel,Initializing,1015,0.4307892955650539
CinCECGTorso,dtw,average,parallel,Approximating,0,0.4307892955650539
CinCECGTorso,dtw,average,parallel,ComputingFullDistances,1832919,0.4307892955650539
CinCECGTorso,dtw,average,parallel,Finalizing,96,0.4307892955650539
CinCECGTorso,dtw,average,parallel,Finished,1834032,0.4307892955650539
MixedShapesSmallTrain,lorentzian,single,parallel,Initializing,1240,4.558238995179605e-05
MixedShapesSmallTrain,lorentzian,single,parallel,Approximating,0,4.558238995179605e-05
MixedShapesSmallTrain,lorentzian,single,parallel,ComputingFullDistances,9239,4.558238995179605e-05
