dataset,distance,linkage,strategy,phase,runtime,ARI
FreezerSmallTrain,dtw,complete,parallel,Initializing,405,0.0001652187780698114
FreezerSmallTrain,dtw,complete,parallel,Approximating,0,0.0001652187780698114
FreezerSmallTrain,dtw,complete,parallel,ComputingFullDistances,218545,0.0001652187780698114
FreezerSmallTrain,dtw,complete,parallel,Finalizing,243,0.0001652187780698114
FreezerSmallTrain,dtw,complete,parallel,Finished,219195,0.0001652187780698114
ProximalPhalanxTW,dtw,complete,parallel,Initializing,81,0.6860106630879487
ProximalPhalanxTW,dtw,complete,parallel,Approximating,0,0.6860106630879487
ProximalPhalanxTW,dtw,complete,parallel,ComputingFullDistances,993,0.6860106630879487
ProximalPhalanxTW,dtw,complete,parallel,Finalizing,57,0.6860106630879487
ProximalPhalanxTW,dtw,complete,parallel,Finished,1132,0.6860106630879487
CricketY,msm,ward,parallel,Initializing,178,0.2000126986942357
CricketY,msm,ward,parallel,Approximating,0,0.2000126986942357
CricketY,msm,ward,parallel,ComputingFullDistances,16341,0.2000126986942357
CricketY,msm,ward,parallel,Finalizing,66,0.2000126986942357
CricketY,msm,ward,parallel,Finished,16585,0.2000126986942357
Lightning2,msm,complete,parallel,Initializing,83,0.254101163575198
Lightning2,msm,complete,parallel,Approximating,0,0.254101163575198
Lightning2,msm,complete,parallel,ComputingFullDistances,3599,0.254101163575198
Lightning2,msm,complete,parallel,Finalizing,17,0.254101163575198
Lightning2,msm,complete,parallel,Finished,3700,0.254101163575198
edeniss20182020_par_anomalies,euclidean,ward,parallel,Initializing,46,
edeniss20182020_par_anomalies,euclidean,ward,parallel,Approximating,0,
edeniss20182020_par_anomalies,euclidean,ward,parallel,ComputingFullDistances,147,
edeniss20182020_par_anomalies,euclidean,ward,parallel,Finalizing,27,
edeniss20182020_par_anomalies,euclidean,ward,parallel,Finished,221,
ShapeletSim,euclidean,single,parallel,Initializing,103,0.0
ShapeletSim,euclidean,single,parallel,Approximating,0,0.0
ShapeletSim,euclidean,single,parallel,ComputingFullDistances,144,0.0
ShapeletSim,euclidean,single,parallel,Finalizing,22,0.0
ShapeletSim,euclidean,single,parallel,Finished,271,0.0
FordA,euclidean,weighted,parallel,Initializing,1117,0.0002437284940727162
FordA,euclidean,weighted,parallel,Approximating,0,0.0002437284940727162
FordA,euclidean,weighted,parallel,ComputingFullDistances,2473,0.0002437284940727162
FordA,euclidean,weighted,parallel,Finalizing,733,0.0002437284940727162
FordA,euclidean,weighted,parallel,Finished,4325,0.0002437284940727162
GesturePebbleZ1,euclidean,complete,parallel,Initializing,70,0.17622503573837411
GesturePebbleZ1,euclidean,complete,parallel,Approximating,0,0.17622503573837411
GesturePebbleZ1,euclidean,complete,parallel,ComputingFullDistances,130,0.17622503573837411
GesturePebbleZ1,euclidean,complete,parallel,Finalizing,38,0.17622503573837411
GesturePebbleZ1,euclidean,complete,parallel,Finished,238,0.17622503573837411
ToeSegmentation2,sbd,single,parallel,Initializing,70,0.023345570930998778
ToeSegmentation2,sbd,single,parallel,Approximating,0,0.023345570930998778
ToeSegmentation2,sbd,single,parallel,ComputingFullDistances,452,0.023345570930998778
ToeSegmentation2,sbd,single,parallel,Finalizing,25,0.023345570930998778
ToeSegmentation2,sbd,single,parallel,Finished,550,0.023345570930998778
StarLightCurves,kdtw,weighted,parallel,Initializing,3728,-0.00022142343831444477
StarLightCurves,kdtw,weighted,parallel,Approximating,0,-0.00022142343831444477
StarLightCurves,kdtw,weighted,parallel,ComputingFullDistances,712548250,-0.00022142343831444477
StarLightCurves,kdtw,weighted,parallel,Finalizing,2802,-0.00022142343831444477
StarLightCurves,kdtw,weighted,parallel,Finished,712554783,-0.00022142343831444477
Strawberry,dtw,average,parallel,Initializing,172,-0.018560259841396413
Strawberry,dtw,average,parallel,Approximating,0,-0.018560259841396413
Strawberry,dtw,average,parallel,ComputingFullDistances,15628,-0.018560259841396413
Strawberry,dtw,average,parallel,Finalizing,77,-0.018560259841396413
Strawberry,dtw,average,parallel,Finished,15880,-0.018560259841396413
SonyAIBORobotSurface2,euclidean,single,parallel,Initializing,88,0.001237232749343879
SonyAIBORobotSurface2,euclidean,single,parallel,Approximating,0,0.001237232749343879
