initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
135,90.0,249,2,476,edeniss20182020_ph_anomalies,lorentzian,average,pre_clustering
226,178.0,3119,23,3546,Ham,dtw,weighted,fcfs
1517,18002.0,48484562,543,48504624,Mallat,kdtw,ward,approx_distance_ascending
337,449.0,567,353,1706,InsectEPGRegularTrain,sbd,complete,approx_distance_ascending
274,244.0,9111,299,9928,InsectEPGSmallTrain,msm,single,approx_distance_ascending
529,82.0,76,39,726,PigArtPressure,euclidean,weighted,fcfs
142,447.0,5603,63,6255,Plane,kdtw,complete,fcfs
173,163.0,545,255,1136,FaceFour,msm,weighted,pre_clustering
595,168.0,959,25,1747,SmallKitchenAppliances,euclidean,average,pre_clustering
202,321.0,1444,283,2250,GunPointOldVersusYoung,dtw,complete,approx_distance_ascending
1224,873.0,1277169,261,1279527,EthanolLevel,dtw,ward,approx_distance_ascending
352,2985.0,370055,263,373655,FiftyWords,kdtw,average,fcfs
1179,1385.0,1282853,273,1285690,EthanolLevel,dtw,weighted,fcfs
232,3612.0,112735,562,117141,AllGestureWiimoteX,kdtw,single,pre_clustering
121,176.0,215,2,514,BeetleFly,sbd,ward,pre_clustering
159,445.0,474,5,1083,GesturePebbleZ2,sbd,weighted,fcfs
360,276.0,339,508,1483,CricketX,lorentzian,complete,approx_distance_ascending
216,526.0,62217,343,63302,Ham,kdtw,ward,approx_distance_ascending
1589,2309.0,2745494,428,2749820,MixedShapesSmallTrain,dtw,average,approx_distance_ascending
373,2386.0,16985,248,19992,PhalangesOutlinesCorrect,dtw,weighted,fcfs
205,54.0,61,13,333,Trace,euclidean,weighted,approx_distance_ascending
641,730.0,335529,236,337136,EOGHorizontalSignal,dtw,single,pre_clustering
538,327.0,157642,244,158751,PigAirwayPressure,msm,weighted,approx_distance_ascending
246,3048.0,30590,412,34296,ProximalPhalanxOutlineCorrect,kdtw,ward,approx_distance_ascending
140,90.0,304,54,588,BirdChicken,msm,weighted,fcfs
311,79.0,326,3,719,HouseTwenty,lorentzian,average,pre_clustering
88,28.0,530,18,664,SmoothSubspace,sbd,ward,approx_distance_ascending
276,181.0,138,79,674,Adiac,euclidean,average,fcfs
