initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
230,1012.0,1477,287,3006,AllGestureWiimoteY,sbd,complete,approx_distance_ascending
152,158.0,55,254,619,Wine,msm,ward,approx_distance_ascending
196,543.0,1746,343,2828,DistalPhalanxOutlineCorrect,dtw,single,approx_distance_ascending
167,942.0,21241,48,22398,GestureMidAirD2,kdtw,average,fcfs
137,433.0,1950,451,2971,ECG200,kdtw,single,approx_distance_ascending
626,830.0,7398,289,9143,EOGHorizontalSignal,sbd,weighted,pre_clustering
148,203.0,9394,131,9876,OliveOil,kdtw,complete,pre_clustering
300,879.0,21898,208,23285,edeniss20182020_temp_anomalies,dtw,weighted,fcfs
372,820.0,1328,336,2856,FacesUCR,euclidean,single,approx_distance_ascending
889,763.0,617082,220,618954,InlineSkate,dtw,ward,approx_distance_ascending
1379,2020.0,1909841,333,1913573,Phoneme,msm,complete,approx_distance_ascending
626,2291.0,6713564,181,6716662,EOGHorizontalSignal,kdtw,single,approx_distance_ascending
256,208.0,9478,233,10175,InsectEPGSmallTrain,dtw,complete,pre_clustering
1630,14342.0,79421,10212,105605,ElectricDevices,euclidean,ward,approx_distance_ascending
260,230.0,281,17,788,Rock,sbd,ward,fcfs
171,401.0,19432,249,20253,ToeSegmentation2,kdtw,weighted,fcfs
360,503.0,436965,282,438110,WormsTwoClass,kdtw,single,fcfs
375,1046.0,2389,18,3828,Strawberry,sbd,single,fcfs
202,106.0,360,13,681,GunPointOldVersusYoung,euclidean,weighted,pre_clustering
224,509.0,9560,84,10377,edeniss20182020_pressure_anomalies,msm,complete,fcfs
105,0.0,305,27,437,Chinatown,dtw,single,approx_distance_ascending
1466,340.0,1014,41,2861,CinCECGTorso,euclidean,average,fcfs
244,195.0,3100,29,3568,Ham,msm,average,fcfs
258,718.0,5229,253,6458,MedicalImages,dtw,weighted,pre_clustering
879,708.0,9253,16,10856,InlineSkate,sbd,average,fcfs
128,202.0,805,587,1722,edeniss20182020_par_anomalies,dtw,weighted,approx_distance_ascending
647,8939.0,33756,1362,44704,TwoPatterns,sbd,weighted,approx_distance_ascending
212,497.0,400,10,1119,GestureMidAirD1,sbd,average,fcfs
819,4731.0,31323,532,37405,FreezerRegularTrain,sbd,ward,fcfs
4660,38265.0,977471,3653,1024049,StarLightCurves,sbd,average,approx_distance_ascending
114,94.0,47,13,268,Chinatown,lorentzian,average,fcfs
88,79.0,20,6,193,SmoothSubspace,euclidean,complete,fcfs
732,482.0,1267,46,2527,ShapesAll,lorentzian,complete,fcfs
188,1153.0,27783,33,29157,GunPointAgeSpan,kdtw,average,fcfs
549,677.0,113702,265,115193,ScreenType,msm,weighted,pre_clustering
650,6601.0,148044,597,155892,TwoPatterns,msm,single,fcfs
252,470.0,9933,801,11456,edeniss20182020_pressure_anomalies,msm,single,pre_clustering
199,706.0,184,401,1490,MiddlePhalanxTW,sbd,complete,approx_distance_ascending
146,581.0,10984,619,12330,edeniss20182020_par_anomalies,kdtw,complete,pre_clustering
347,824.0,1962,188,3321,CricketZ,sbd,weighted,approx_distance_ascending
287,108.0,140,220,755,OSULeaf,lorentzian,weighted,approx_distance_ascending
357,116.0,75,69,617,Earthquakes,euclidean,complete,fcfs
182,191.0,1137,168,1678,ArrowHead,dtw,complete,pre_clustering
158,53.0,60,19,290,Trace,euclidean,single,approx_distance_ascending
908,146.0,780,15,1849,InlineSkate,euclidean,average,pre_clustering
165,189.0,1084,9,1447,ArrowHead,msm,weighted,fcfs
287,98.0,101,60,546,Fish,euclidean,weighted,approx_distance_ascending
129,396.0,214,5,744,BME,sbd,weighted,fcfs
131,50.0,6,6,193,BirdChicken,lorentzian,weighted,fcfs
337,64.0,205,3,609,WormsTwoClass,euclidean,weighted,pre_clustering
4885,4498.0,297813,3330,310526,StarLightCurves,euclidean,single,pre_clustering
289,498.0,950,346,2083,OSULeaf,sbd,complete,pre_clustering
143,805.0,15510,93,16551,edeniss20182020_ph_anomalies,kdtw,average,fcfs
282,99.0,70,40,491,OSULeaf,euclidean,complete,fcfs
575,568.0,116077,54,117274,LargeKitchenAppliances,dtw,single,fcfs
132,254.0,257,165,808,edeniss20182020_vpd_anomalies,sbd,average,approx_distance_ascending
117,133.0,2918,381,3549,BirdChicken,kdtw,single,pre_clustering
175,165.0,1097,11,1448,ArrowHead,dtw,ward,fcfs
242,237.0,285,268,1032,Adiac,lorentzian,single,approx_distance_ascending
231,1310.0,1557,429,3527,TwoLeadECG,sbd,ward,pre_clustering
200,137.0,183,162,682,ProximalPhalanxTW,euclidean,weighted,approx_distance_ascending
142,511.0,289,2,944,Plane,sbd,weighted,pre_clustering
1787,27111.0,30972,23897,83767,Crop,euclidean,single,fcfs
1677,2032.0,2487966,280,2491955,Mallat,dtw,ward,fcfs
935,200.0,301,348,1784,SemgHandSubjectCh2,euclidean,complete,approx_distance_ascending
368,2326.0,335285,239,338218,CricketY,kdtw,average,fcfs
173,101.0,369,14,657,GunPointMaleVersusFemale,euclidean,complete,pre_clustering
1408,1841.0,1905220,208,1908677,Phoneme,msm,single,fcfs
396,18420.0,1444079,1727,1464622,edeniss20182020_ics_anomalies,kdtw,average,pre_clustering
342,426.0,309,712,1789,WormsTwoClass,sbd,complete,pre_clustering
265,115.0,17893,151,18424,Rock,dtw,average,pre_clustering
901,12228.0,438840,1522,453491,Wafer,msm,single,pre_clustering
420,1153.0,4588,27,6188,Symbols,sbd,weighted,fcfs
424,1129.0,4788,348,6689,Symbols,sbd,complete,pre_clustering
526,111.0,107,94,838,Haptics,euclidean,ward,fcfs
169,1727.0,14446,29,16371,ProximalPhalanxOutlineAgeGroup,kdtw,weighted,fcfs
336,191.0,177,70,774,WordSynonyms,euclidean,single,fcfs
128,36.0,25,7,196,PickupGestureWiimoteZ,euclidean,average,approx_distance_ascending
1103,5358.0,704244,957,711662,UWaveGestureLibraryX,dtw,average,fcfs
2444,9277.0,213318,929,225968,UWaveGestureLibraryAll,sbd,weighted,approx_distance_ascending
180,167.0,870,239,1456,ArrowHead,msm,weighted,approx_distance_ascending
325,3132.0,370251,269,373977,FiftyWords,kdtw,complete,fcfs
138,158.0,526,3,825,Wine,dtw,single,pre_clustering
130,414.0,63,131,738,ECG200,sbd,complete,approx_distance_ascending
186,156.0,1145,307,1794,Trace,dtw,complete,pre_clustering
215,3080.0,30031,34,33360,DistalPhalanxOutlineCorrect,kdtw,average,fcfs
305,175.0,40979,205,41664,HouseTwenty,msm,complete,pre_clustering
954,2999.0,14364203,273,14368429,SemgHandGenderCh2,kdtw,ward,fcfs
173,137.0,90,99,499,SonyAIBORobotSurface1,euclidean,average,fcfs
345,878.0,1457,113,2793,FaceAll,euclidean,ward,pre_clustering
94,282.0,225,8,609,Chinatown,msm,complete,pre_clustering
162,567.0,12733,445,13907,edeniss20182020_rh_anomalies,kdtw,complete,pre_clustering
193,70.0,30,65,358,Herring,lorentzian,ward,approx_distance_ascending
664,5114.0,182366,481,188625,ChlorineConcentration,msm,average,fcfs
677,11782.0,37699,714,50872,ECG5000,sbd,weighted,fcfs
344,242.0,377,252,1215,Strawberry,euclidean,ward,approx_distance_ascending
262,84.0,84,63,493,DiatomSizeReduction,euclidean,average,approx_distance_ascending
206,331.0,624,20,1181,ProximalPhalanxOutlineCorrect,lorentzian,ward,pre_clustering
388,15921.0,533844,589,550742,FacesUCR,kdtw,complete,approx_distance_ascending
373,991.0,1327,108,2799,FaceAll,lorentzian,weighted,fcfs
170,505.0,353,12,1040,GestureMidAirD1,sbd,ward,fcfs
915,286.0,1987,7,3195,SemgHandMovementCh2,lorentzian,single,fcfs
571,829.0,135223,240,136863,ShapesAll,msm,single,approx_distance_ascending
378,577.0,19594,27,20576,CricketY,dtw,weighted,fcfs
687,6507.0,149947,1191,158332,TwoPatterns,dtw,weighted,fcfs
126,56.0,105,2,289,Beef,lorentzian,average,pre_clustering
536,983.0,3246486,357,3248362,PigArtPressure,kdtw,single,fcfs
271,228.0,9552,45,10096,InsectEPGSmallTrain,msm,average,fcfs
1465,17495.0,48293457,330,48312747,Mallat,kdtw,single,fcfs
134,191.0,262,6,593,BME,msm,ward,fcfs
187,1588.0,12171,196,14142,MiddlePhalanxOutlineAgeGroup,kdtw,single,pre_clustering
352,98.0,87,18,555,Earthquakes,euclidean,single,fcfs
1977,2804.0,3674084,563,3679428,MixedShapesRegularTrain,dtw,weighted,pre_clustering
337,3894.0,7546,527,12304,PhalangesOutlinesCorrect,sbd,ward,pre_clustering
273,849.0,7295,332,8749,SwedishLeaf,msm,single,approx_distance_ascending
1174,819.0,1279761,202,1281956,EthanolLevel,dtw,weighted,pre_clustering
119,162.0,337,6,624,UMD,msm,single,fcfs
357,246.0,21479,189,22271,WormsTwoClass,msm,weighted,approx_distance_ascending
181,427.0,823,243,1674,MiddlePhalanxOutlineAgeGroup,dtw,complete,pre_clustering
310,2829.0,366369,200,369708,WordSynonyms,kdtw,weighted,fcfs
335,1059.0,2170,315,3879,WordSynonyms,sbd,average,approx_distance_ascending
846,1854.0,12371270,420,12374390,InlineSkate,kdtw,weighted,pre_clustering
575,715.0,2976,102,4368,InsectWingbeatSound,euclidean,weighted,pre_clustering
204,317.0,1797,11,2329,GunPointAgeSpan,msm,complete,fcfs
132,472.0,6646,724,7974,edeniss20182020_level_anomalies,kdtw,weighted,pre_clustering
1383,7414.0,110315,1344,120456,FordB,sbd,complete,pre_clustering
154,207.0,1087,334,1782,edeniss20182020_ph_anomalies,dtw,complete,approx_distance_ascending
704,232.0,1311,444,2691,SmallKitchenAppliances,lorentzian,weighted,pre_clustering
221,305.0,368,131,1025,ProximalPhalanxOutlineCorrect,lorentzian,complete,approx_distance_ascending
210,1054.0,1693,39,2996,AllGestureWiimoteZ,sbd,complete,fcfs
144,366.0,370,33,913,edeniss20182020_rh_anomalies,sbd,single,fcfs
181,3353.0,25296,425,29255,SonyAIBORobotSurface2,kdtw,single,pre_clustering
274,320.0,9193,250,10037,Fish,msm,ward,pre_clustering
1052,218.0,1277,22,2569,SemgHandGenderCh2,euclidean,complete,pre_clustering
541,85.0,280,362,1268,PigArtPressure,lorentzian,ward,pre_clustering
246,710.0,5365,291,6612,ECGFiveDays,msm,single,pre_clustering
151,277.0,1224,316,1968,PowerCons,msm,average,pre_clustering
2416,2005.0,27991,530,32942,UWaveGestureLibraryAll,lorentzian,average,fcfs
349,3414.0,8958,528,13249,PhalangesOutlinesCorrect,sbd,weighted,pre_clustering
199,175.0,1223,21,1618,ToeSegmentation2,msm,ward,fcfs
889,12438.0,433053,2362,448742,Wafer,msm,average,pre_clustering
118,40.0,27,6,191,edeniss20182020_co2_anomalies,euclidean,complete,pre_clustering
413,375.0,551,290,1629,ACSF1,sbd,average,approx_distance_ascending
283,271.0,9382,292,10228,Fish,dtw,ward,pre_clustering
214,3787.0,113892,68,117961,AllGestureWiimoteZ,kdtw,complete,fcfs
679,6983.0,38197,702,46561,ChlorineConcentration,sbd,ward,pre_clustering
363,1110.0,1912,14,3399,CricketZ,sbd,weighted,fcfs
300,588.0,836124,424,837436,HouseTwenty,kdtw,ward,fcfs
241,414.0,230,25,910,AllGestureWiimoteZ,lorentzian,complete,fcfs
120,69.0,102,16,307,SmoothSubspace,euclidean,weighted,approx_distance_ascending
258,439.0,830,210,1737,MoteStrain,lorentzian,weighted,pre_clustering
188,145.0,113,10,456,MiddlePhalanxTW,lorentzian,average,fcfs
211,279.0,143,54,687,Car,sbd,average,approx_distance_ascending
583,910.0,4463,24,5980,SmallKitchenAppliances,sbd,average,fcfs
167,86.0,33,11,297,GestureMidAirD3,euclidean,ward,fcfs
195,2969.0,30235,47,33446,DistalPhalanxOutlineCorrect,kdtw,ward,fcfs
445,749.0,58865,25,60084,Symbols,dtw,single,fcfs
361,704.0,1553,48,2666,FaceAll,lorentzian,single,fcfs
297,296.0,506,495,1594,edeniss20182020_temp_anomalies,euclidean,single,approx_distance_ascending
121,334.0,344,13,812,edeniss20182020_valve_anomalies,sbd,average,fcfs
188,103.0,65,57,413,GunPointMaleVersusFemale,euclidean,ward,fcfs
339,1064.0,2884,272,4559,Strawberry,sbd,average,pre_clustering
164,153.0,586,19,922,FaceFour,dtw,ward,fcfs
1078,908.0,1477,185,3648,Yoga,euclidean,single,fcfs
235,1008.0,649,401,2293,MiddlePhalanxOutlineCorrect,sbd,average,approx_distance_ascending
107,177.0,19,14,317,SmoothSubspace,dtw,average,fcfs
207,146.0,2280,122,2755,Lightning2,msm,average,pre_clustering
760,2897.0,264312,446,268415,FreezerSmallTrain,msm,single,pre_clustering
489,355.0,50887,68,51799,Computers,msm,ward,fcfs
167,118.0,102,16,403,GunPointAgeSpan,lorentzian,ward,fcfs
574,775.0,4373,242,5964,ScreenType,sbd,weighted,approx_distance_ascending
1040,7378.0,77392,787,86597,UWaveGestureLibraryX,sbd,weighted,pre_clustering
264,100.0,98,6,468,DiatomSizeReduction,lorentzian,complete,fcfs
188,150.0,906,319,1563,Meat,msm,weighted,pre_clustering
1590,1181.0,2230694,254,2233719,CinCECGTorso,msm,average,approx_distance_ascending
267,226.0,300,142,935,Adiac,euclidean,average,approx_distance_ascending
372,857.0,1634,660,3523,FacesUCR,lorentzian,complete,approx_distance_ascending
262,4470.0,78799,48,83579,MedicalImages,kdtw,weighted,fcfs
162,95.0,70,144,471,GesturePebbleZ2,lorentzian,average,approx_distance_ascending
267,612.0,8484,1180,10543,AllGestureWiimoteX,dtw,average,pre_clustering
128,101.0,558,3,790,Beef,dtw,weighted,pre_clustering
154,219.0,4201,381,4955,Wine,kdtw,average,pre_clustering
160,746.0,369,45,1320,ItalyPowerDemand,dtw,weighted,fcfs
228,930.0,1402,479,3039,AllGestureWiimoteX,sbd,average,approx_distance_ascending
137,152.0,816,507,1612,edeniss20182020_par_anomalies,dtw,ward,approx_distance_ascending
1182,322.0,4186,365,6055,EthanolLevel,lorentzian,average,approx_distance_ascending
1114,5397.0,695233,748,702492,UWaveGestureLibraryX,msm,ward,fcfs
161,324.0,792,20,1297,DistalPhalanxOutlineAgeGroup,dtw,average,fcfs
1411,659.0,7257,141,9468,Phoneme,lorentzian,average,fcfs
1678,30926.0,190087,29664,252355,Crop,lorentzian,weighted,approx_distance_ascending
264,902.0,1314,24,2504,Adiac,sbd,complete,fcfs
1555,2158.0,2467454,335,2471502,Mallat,msm,complete,approx_distance_ascending
555,113.0,198,446,1312,Haptics,lorentzian,weighted,approx_distance_ascending
581,91.0,155,422,1249,PigCVP,lorentzian,average,approx_distance_ascending
600,662.0,114596,257,116115,LargeKitchenAppliances,dtw,weighted,pre_clustering
174,428.0,16890,120,17612,ArrowHead,kdtw,ward,fcfs
1442,891.0,9375,396,12104,Mallat,lorentzian,single,approx_distance_ascending
175,438.0,454,597,1664,MiddlePhalanxOutlineAgeGroup,dtw,average,pre_clustering
1184,5409.0,693657,804,701054,UWaveGestureLibraryX,msm,weighted,fcfs
1169,9830.0,69808,821,81628,UWaveGestureLibraryX,sbd,average,approx_distance_ascending
126,428.0,209,3,766,UMD,sbd,ward,fcfs
254,180.0,1066,20,1520,Adiac,euclidean,single,pre_clustering
141,284.0,55,255,735,Wine,sbd,weighted,approx_distance_ascending
184,157.0,1172,109,1622,Meat,dtw,single,pre_clustering
821,2782.0,284978,443,289024,FreezerRegularTrain,msm,weighted,approx_distance_ascending
2068,1131.0,5641004,237,5644440,HandOutlines,msm,average,fcfs
438,444.0,736,25,1643,PLAID,lorentzian,weighted,fcfs
557,1127.0,3230618,428,3232730,PigArtPressure,kdtw,ward,fcfs
1007,1893.0,10272,592,13764,UWaveGestureLibraryZ,lorentzian,complete,fcfs
1569,1184.0,2243086,243,2246082,CinCECGTorso,dtw,average,fcfs
583,1493.0,8261,401,10738,ShapesAll,sbd,complete,pre_clustering
193,495.0,140,296,1124,GestureMidAirD3,sbd,single,approx_distance_ascending
112,36.0,300,28,476,Chinatown,dtw,complete,approx_distance_ascending
644,1737.0,9648,1108,13137,TwoPatterns,euclidean,weighted,pre_clustering
373,246.0,1532,9,2160,CricketX,lorentzian,single,pre_clustering
157,222.0,9052,399,9830,FaceFour,kdtw,complete,approx_distance_ascending
508,166.0,228,252,1154,LargeKitchenAppliances,euclidean,single,approx_distance_ascending
115,489.0,95,142,841,Chinatown,sbd,ward,approx_distance_ascending
318,693.0,20944,212,22167,WordSynonyms,msm,weighted,pre_clustering
1136,7557.0,69858,770,79321,UWaveGestureLibraryX,sbd,weighted,approx_distance_ascending
659,1507.0,9837,1261,13264,TwoPatterns,euclidean,average,pre_clustering
1470,6708.0,2154053,1675,2163906,FordA,msm,average,approx_distance_ascending
183,508.0,166,363,1220,SyntheticControl,dtw,weighted,approx_distance_ascending
422,1111.0,4958,262,6753,Symbols,sbd,weighted,pre_clustering
174,711.0,181,318,1384,ProximalPhalanxOutlineAgeGroup,sbd,complete,approx_distance_ascending
165,79.0,34,92,370,Meat,lorentzian,single,approx_distance_ascending
136,696.0,1167,29,2028,ItalyPowerDemand,dtw,weighted,pre_clustering
280,400.0,1173,36,1889,MedicalImages,lorentzian,average,pre_clustering
225,145.0,1437,244,2051,Herring,dtw,average,approx_distance_ascending
907,300.0,1548,331,3086,SemgHandSubjectCh2,lorentzian,single,approx_distance_ascending
198,152.0,137,20,507,MiddlePhalanxTW,lorentzian,complete,pre_clustering
176,200.0,9088,401,9865,FaceFour,kdtw,complete,fcfs
251,5451.0,69941,492,76135,MoteStrain,kdtw,complete,pre_clustering
224,358.0,402,266,1250,AllGestureWiimoteX,lorentzian,ward,approx_distance_ascending
163,381.0,542,2,1088,Trace,sbd,single,pre_clustering
137,402.0,4850,132,5521,edeniss20182020_valve_anomalies,kdtw,weighted,fcfs
755,436.0,1116,443,2750,ShapesAll,lorentzian,average,approx_distance_ascending
189,110.0,107,114,520,GunPointMaleVersusFemale,euclidean,complete,approx_distance_ascending
163,39.0,19,7,228,FaceFour,euclidean,weighted,pre_clustering
184,1020.0,27655,69,28928,GunPointOldVersusYoung,kdtw,single,fcfs
362,454.0,1136,3,1955,WormsTwoClass,sbd,single,pre_clustering
521,82.0,66,45,714,PigArtPressure,euclidean,complete,fcfs
555,180.0,194,82,1011,RefrigerationDevices,euclidean,complete,fcfs
132,419.0,2984,420,3955,BME,kdtw,single,approx_distance_ascending
365,120.0,150,269,904,Earthquakes,lorentzian,ward,approx_distance_ascending
222,152.0,1774,45,2193,Car,msm,ward,fcfs
1035,1140.0,752674,228,755077,SemgHandGenderCh2,dtw,average,pre_clustering
4706,4992.0,131006,5019,145723,StarLightCurves,lorentzian,complete,approx_distance_ascending
552,102.0,145,360,1159,PigArtPressure,lorentzian,weighted,approx_distance_ascending
371,693.0,6721,62,7847,FacesUCR,lorentzian,single,pre_clustering
392,173.0,34270,336,35171,ACSF1,dtw,average,fcfs
261,266.0,9506,26,10059,Fish,dtw,ward,fcfs
135,48.0,28,12,223,Coffee,lorentzian,average,approx_distance_ascending
244,842.0,4392,32,5510,MoteStrain,dtw,single,fcfs
158,1443.0,11593,29,13223,DistalPhalanxOutlineAgeGroup,kdtw,complete,fcfs
384,88.0,105,77,654,Worms,lorentzian,complete,approx_distance_ascending
217,996.0,1701,24,2938,AllGestureWiimoteY,sbd,ward,fcfs
335,276.0,629,40,1280,Strawberry,euclidean,weighted,pre_clustering
162,441.0,5411,394,6408,GunPoint,kdtw,ward,pre_clustering
124,347.0,286,22,779,edeniss20182020_level_anomalies,sbd,ward,fcfs
1511,1978.0,2487829,431,2491749,Mallat,dtw,ward,approx_distance_ascending
611,74958.0,3011502,1339,3088410,ECG5000,kdtw,ward,fcfs
825,1030.0,969,376,3200,FreezerRegularTrain,euclidean,average,fcfs
305,305.0,707,15,1332,HouseTwenty,sbd,weighted,fcfs
1496,6164.0,2177442,1021,2186123,FordA,dtw,average,fcfs
600,207.0,577,11,1395,LargeKitchenAppliances,euclidean,complete,pre_clustering
183,482.0,824,283,1772,SonyAIBORobotSurface1,dtw,average,pre_clustering
191,153.0,2043,274,2661,Lightning2,dtw,average,approx_distance_ascending
244,895.0,4271,210,5620,MoteStrain,dtw,single,approx_distance_ascending
908,148.0,340,26,1422,InlineSkate,euclidean,complete,fcfs
175,522.0,905,21,1623,ProximalPhalanxOutlineAgeGroup,dtw,complete,fcfs
236,1010.0,1334,302,2882,AllGestureWiimoteY,sbd,single,approx_distance_ascending
149,4358.0,4506,441,9454,ItalyPowerDemand,kdtw,weighted,approx_distance_ascending
975,1265.0,11856,27,14123,SemgHandSubjectCh2,sbd,single,fcfs
1055,5257.0,694830,1285,702427,UWaveGestureLibraryY,msm,ward,approx_distance_ascending
171,479.0,566,7,1223,GestureMidAirD2,sbd,complete,pre_clustering
351,260.0,158,119,888,Strawberry,euclidean,single,fcfs
892,2886.0,14507984,265,14512027,SemgHandGenderCh2,kdtw,weighted,approx_distance_ascending
240,185.0,2942,291,3658,Ham,msm,weighted,pre_clustering
532,351.0,104678,125,105686,Haptics,dtw,weighted,fcfs
2037,1141.0,5646132,305,5649615,HandOutlines,msm,complete,fcfs
1029,196.0,326,406,1957,SemgHandMovementCh2,euclidean,single,approx_distance_ascending
111,48.0,30,7,196,Coffee,lorentzian,ward,pre_clustering
130,40.0,28,3,201,BirdChicken,lorentzian,average,fcfs
252,1155.0,1063,215,2685,CBF,sbd,ward,approx_distance_ascending
195,105.0,125,70,495,GunPointOldVersusYoung,euclidean,average,approx_distance_ascending
184,255.0,1854,229,2522,GestureMidAirD3,dtw,ward,pre_clustering
1045,800.0,752116,266,754227,SemgHandGenderCh2,dtw,weighted,pre_clustering
197,60.0,26,32,315,FaceFour,lorentzian,single,approx_distance_ascending
255,264.0,379,266,1164,AllGestureWiimoteY,euclidean,average,approx_distance_ascending
350,929.0,2926,11,4216,CricketX,sbd,single,pre_clustering
344,787.0,19118,34,20283,CricketY,msm,complete,fcfs
358,21656.0,280273,587,302874,PhalangesOutlinesCorrect,kdtw,average,pre_clustering
260,1015.0,1929,327,3531,CBF,sbd,complete,pre_clustering
340,238.0,290,346,1214,CricketZ,lorentzian,complete,approx_distance_ascending
157,341.0,12133,321,12952,Lightning7,kdtw,single,fcfs
351,2334.0,336414,341,339440,CricketX,kdtw,complete,pre_clustering
261,856.0,4877,341,6335,MoteStrain,dtw,ward,pre_clustering
145,628.0,13960,504,15237,edeniss20182020_ec_anomalies,kdtw,complete,pre_clustering
268,312.0,209,74,863,SwedishLeaf,euclidean,complete,pre_clustering
456,102.0,138,240,936,Computers,euclidean,complete,approx_distance_ascending
2089,1807.0,61471,405,65772,HandOutlines,sbd,weighted,pre_clustering
550,81.0,85,294,1010,PigCVP,euclidean,weighted,approx_distance_ascending
852,3117.0,14508393,316,14512678,SemgHandGenderCh2,kdtw,complete,fcfs
178,509.0,562,320,1569,MiddlePhalanxTW,msm,average,approx_distance_ascending
258,442.0,102,452,1254,DiatomSizeReduction,sbd,complete,approx_distance_ascending
249,5476.0,70163,401,76289,MoteStrain,kdtw,average,approx_distance_ascending
168,237.0,2705,16,3126,GesturePebbleZ2,dtw,weighted,fcfs
165,1953.0,13614,361,16093,ProximalPhalanxOutlineAgeGroup,kdtw,single,approx_distance_ascending
636,1935.0,4174,1448,8193,ECG5000,euclidean,ward,pre_clustering
1466,3298.0,58107,84,62955,Mallat,sbd,single,fcfs
2418,1376.0,6922,1174,11890,UWaveGestureLibraryAll,euclidean,ward,approx_distance_ascending
153,234.0,1353,32,1772,edeniss20182020_ph_anomalies,dtw,weighted,fcfs
184,471.0,16865,172,17692,ArrowHead,kdtw,weighted,fcfs
276,711.0,6619,321,7927,Adiac,msm,ward,pre_clustering
526,435.0,157584,241,158786,PigCVP,msm,complete,approx_distance_ascending
164,99.0,338,3,604,PowerCons,lorentzian,complete,pre_clustering
183,506.0,839,12,1540,ProximalPhalanxTW,dtw,average,fcfs
361,16182.0,535003,240,551786,FacesUCR,kdtw,complete,fcfs
184,384.0,1087,238,1893,ProximalPhalanxTW,dtw,weighted,pre_clustering
348,649.0,19588,187,20772,CricketY,dtw,single,pre_clustering
140,334.0,1276,1463,3213,ShakeGestureWiimoteZ,kdtw,ward,approx_distance_ascending
315,518.0,890,208,1931,OSULeaf,sbd,weighted,approx_distance_ascending
143,168.0,282,8,601,Wine,dtw,single,fcfs
123,80.0,304,56,563,BeetleFly,msm,weighted,fcfs
268,5312.0,69728,443,75751,MoteStrain,kdtw,single,pre_clustering
531,368.0,157982,195,159076,PigArtPressure,dtw,complete,fcfs
135,81.0,45,30,291,edeniss20182020_level_anomalies,lorentzian,single,approx_distance_ascending
173,250.0,2982,14,3419,GesturePebbleZ1,msm,single,fcfs
217,152.0,91,12,472,MiddlePhalanxOutlineAgeGroup,lorentzian,single,fcfs
245,3202.0,86022,462,89931,CBF,kdtw,weighted,pre_clustering
215,3731.0,113159,35,117140,AllGestureWiimoteZ,kdtw,single,fcfs
540,15212.0,2059658,562,2075972,InsectWingbeatSound,kdtw,ward,approx_distance_ascending
130,76.0,45,39,290,edeniss20182020_volume_anomalies,lorentzian,single,approx_distance_ascending
140,67.0,80,23,310,edeniss20182020_ph_anomalies,euclidean,complete,approx_distance_ascending
2013,442.0,1154,479,4088,HandOutlines,euclidean,weighted,approx_distance_ascending
177,160.0,1153,144,1634,ArrowHead,dtw,ward,pre_clustering
265,349.0,179,203,996,SwedishLeaf,euclidean,ward,pre_clustering
99,145.0,496,2,742,ShakeGestureWiimoteZ,msm,weighted,pre_clustering
113,145.0,50,243,551,ShakeGestureWiimoteZ,dtw,weighted,approx_distance_ascending
646,620.0,335631,169,337066,EOGHorizontalSignal,dtw,weighted,approx_distance_ascending
2036,1203.0,5663835,253,5667327,HandOutlines,dtw,weighted,approx_distance_ascending
156,920.0,21379,427,22882,GestureMidAirD2,kdtw,ward,pre_clustering
465,376.0,50627,227,51695,Computers,dtw,weighted,approx_distance_ascending
533,385.0,104500,259,105677,Haptics,dtw,single,pre_clustering
311,416.0,12797,28,13552,OSULeaf,dtw,complete,fcfs
2066,6338.0,114611888,969,114621261,HandOutlines,kdtw,weighted,pre_clustering
218,273.0,112,142,745,SonyAIBORobotSurface2,euclidean,complete,fcfs
189,62.0,32,4,287,Car,lorentzian,average,pre_clustering
1765,125957.0,537340,42397,707459,Crop,dtw,complete,approx_distance_ascending
343,797.0,18934,267,20341,Strawberry,dtw,weighted,pre_clustering
123,168.0,54,307,652,UMD,msm,single,approx_distance_ascending
664,6725.0,150232,1309,158930,TwoPatterns,msm,ward,pre_clustering
177,697.0,136,476,1486,DistalPhalanxOutlineAgeGroup,sbd,average,approx_distance_ascending
290,225.0,9621,40,10176,InsectEPGSmallTrain,dtw,single,fcfs
159,318.0,192,91,760,ItalyPowerDemand,euclidean,complete,pre_clustering
176,374.0,772,13,1335,DistalPhalanxOutlineAgeGroup,msm,complete,fcfs
1030,1104.0,746175,240,748549,SemgHandSubjectCh2,msm,single,fcfs
1217,249.0,405,430,2301,EthanolLevel,euclidean,complete,approx_distance_ascending
365,249.0,991,13,1618,CricketX,lorentzian,average,pre_clustering
155,49.0,550,86,840,ItalyPowerDemand,lorentzian,average,pre_clustering
2024,2790.0,3640419,473,3645706,MixedShapesRegularTrain,msm,complete,pre_clustering
314,116.0,44,77,551,OSULeaf,euclidean,ward,fcfs
607,193.0,636,283,1719,ScreenType,lorentzian,complete,approx_distance_ascending
115,179.0,500,2,796,PickupGestureWiimoteZ,msm,single,pre_clustering
166,157.0,1126,331,1780,Trace,msm,ward,pre_clustering
668,6396.0,193229,673,200966,ECG5000,msm,single,pre_clustering
172,134.0,85,83,474,ProximalPhalanxTW,euclidean,weighted,fcfs
616,236.0,1150,232,2234,EOGHorizontalSignal,lorentzian,complete,pre_clustering
352,2912.0,366572,221,370057,WordSynonyms,kdtw,complete,fcfs
